81101: ACCT,"Accounting 1 Part 1"
82553: PARA,"Law Bus Ent. Paraleg"
82554: PARA,"Legal Research and Writing"
82555: PARA,"Muskl Sft Med Emerg"
82556: PARA,"Obs Ped Path & Clin"
82557: PARA,"Oper&Beh Emer. Clin"
82558: PARA,"Paralegal Internship"
82559: PARA,"Paramedic I"
82560: PARA,"Paramedic II"
82561: PARA,"Paramedic III"
82562: PARA,"Paramedic IV"
82563: PARA,"Pharm For The Emt-P"
82564: PARA,"Phys.&Path Nerv. Sys"
82565: PARA,"Real Estate Law for Paralegals"
82566: PARA,"Resp Phys & Path"
82567: PARA,"Resp Phys And Patho"
82568: PARA,"Sem .Par Tech&Clin"
82569: PARA,"Wills82570: PERM,"Permit 1"
82571: PERM,"Permit 10"
82572: PERM,"Permit 11"
82573: PERM,"Permit 12"
82574: PERM,"Permit 13"
82575: PERM,"Permit 14"
82576: PERM,"Permit 15"
82577: PERM,"Permit 16"
82578: PERM,"Permit 17"
82579: PERM,"Permit 18"
82580: PERM,"Permit 2"
82581: PERM,"Permit 3"
82582: PERM,"Permit 4"
82583: PERM,"Permit 5"
82584: PERM,"Permit 5.5"
82585: PERM,"Permit 6"
82586: PERM,"Permit 7"
82587: PERM,"Permit 8"
82588: PERM,"Permit 9"
82589: PHIL,"African Philosophy"
82590: PHIL,"Creative Thinking"
82591: PHIL,"Critical Thinking"
82592: PHIL,"Eastern Phil"
82593: PHIL,"Environmental Ethics"
82594: PHIL,"Ethical Leadership"
82595: PHIL,"Ethics and Moral Issues"
82596: PHIL,"Intro To Philosophy"
82597: PHIL,"Introduction to Philosophy"
82598: PHIL,"Landmarks in Philosophy"
82599: PHIL,"Latin American Philosophy"
82600: PHIL,"Logic & Philosophy"
82601: PHIL,"Medical Ethics"
82602: PHIL,"Medieval & Renaiss Philo"
82603: PHIL,"Phil Value & Bus Eth"
82604: PHIL,"PhilSci"
82605: PHIL,"Philosophy of Art"
82606: PHIL,"Philosophy of Gender and Sex"
82607: PHIL,"Philosophy of Law"
82608: PHIL,"Philosophy of Love"
82609: PHIL,"Philosophy of Mind"
82610: PHIL,"Philosophy of Religion"
82611: PHIL,"Pol & Soc Philo"
82612: PHIL,"Pol & Soc Philosophy"
82613: PHIL,"Soc & Pol Philosophy"
82614: PHTH,"Clinical Kinesiology"
82615: PHTH,"Gait Train Skills"
82616: PHTH,"Ind Study Phys Thera"
82617: PHTH,"Intent to P.T.A"
82618: PHTH,"Intent to PTA"
82619: PHTH,"Intro to PT"
82620: PHTH,"Mobility Activities"
82621: PHTH,"Mobility Skills"
82622: PHTH,"Neuromuscular Rehabilitation"
82623: PHTH,"Orthopedic Ther. Exc"
82624: PHTH,"P.T.A. Clin Ed & Sem I"
82625: PHTH,"P.T.A. Clin Ed & Sem II"
82626: PHTH,"P.T.A. Clin Ed & Sem III"
82627: PHTH,"PT Ethical & Legal"
82628: PHTH,"Therapeutic Exercise Apps"
82629: PHTH,"Therapeutic Procedures I"
82630: PHTH,"Therapeutic Procedures II"
82631: PHYS,"Topics In Physical Science"
82632: POLI,"Elementary Polish I"
82633: POLI,"Elementary Polish II"
82634: POLI,"Intermediate Polish"
82635: POLI,"Modern Polish Literature"
82636: POLI,"Polish for Heritage Speakers"
82637: PORT,"Elementary Portuguese I"
82638: PORT,"Elementary Portuguese II"
82639: PORT,"Portuguese-Spa Spk I"
82640: PSYC,"Abnormal Psychology"
82641: PSYC,"Developmental Psychology I"
82642: PSYC,"Developmental Psychology II"
82643: PSYC,"EXPL:Psychology"
82644: PSYC,"General Psychology"
82645: PSYC,"Group Dynamics"
82646: PSYC,"Introduction to Dis/Ability"
82647: PSYC,"Learning & Education"
82648: PSYC,"Personality Psychology"
82649: PSYC,"Power & Politics"
82650: PSYC,"Prin Behavior Mngmt"
82651: PSYC,"Psy Bus & Organiz"
82652: PSYC,"Psychology of Aging"
82653: PSYC,"Psychology of Gender"
82654: PSYC,"Social Psychology"
82655: RATE,"Clinical Practicum I"
82656: RATE,"Clinical Practicum II"
82657: RATE,"Clinical Practicum III"
82658: RATE,"Clinical Practicum IV"
82659: RATE,"Clinical Practicum V"
82660: RATE,"Clinical Practicum VI"
82661: RATE,"Cross Sectional Anatomy"
82662: RATE,"Film Evaluation and Critique"
82663: RATE,"Imaging Modalities I"
82664: RATE,"Imaging Modalities I I"
82665: RATE,"Intent To Rad Tech"
82666: RATE,"Path & Frac Radiography"
82667: RATE,"Pediatric"
82668: RATE,"Prin Exposure II"
82669: RATE,"Prin Rad Exposure I"
82670: RATE,"Rad Procedures II"
82671: RATE,"Radiographic Procedures I"
82672: RATE,"Radiographic Procedures III"
82673: RATE,"Radiologic Technology I"
82674: RATE,"Radiologic Technology II"
82675: RATE,"Radiologic Technology III"
82676: RATE,"Women Body"
82677: RECR,"Intro Rec Leisure"
82678: RECR,"Intro to TR"
82679: RECR,"Professional TR"
82680: RECR,"TR CLinical Fieldwork"
82681: RECR,"TR Long Term Care"
82682: RELI,"Amps Grant      Grnt"
82683: RELI,"Barnard Teach   Barn"
82684: RELI,"Cgi Recruit     Grnt"
82685: RELI,"Co-Op Ed        Grnt"
82686: RELI,"Co-Op Ed Grant"
82687: RELI,"College Now     Adm"
82688: RELI,"Cope Grant      Grnt"
82689: RELI,"Cuny Ashp       Cuny"
82690: RELI,"Cuny Fac Fell    Cun"
82691: RELI,"Cuny Fund Fac Fellow"
82692: RELI,"Cuny Funded Ashp"
82693: RELI,"Cuny Project/Cfp Adm"
82694: RELI,"Cuny Project/Cfpgrnt"
82695: RELI,"Edit Grant"
82696: RELI,"Esl Inov Prg    Grnt"
82697: RELI,"Grad Ctr  Tch    Gc"
82698: RELI,"Grad Ctr Teach   Gc"
82699: RELI,"Grad Men Hlth Spn"
82700: RELI,"Math Cal Proj   Grnt"
82701: RELI,"Math In Motion  Grnt"
82702: RELI,"Middle Coll Consgrnt"
82703: RELI,"Nasa             Nas"
82704: RELI,"Nasa             Spn"
82705: RELI,"Neh             Grnt"
82706: RELI,"New Visions     Grnt"
82707: RELI,"Nih             Grnt"
82708: RELI,"Non-Aca Div Wkld Adm"
82709: RELI,"Prev  Year Teaching"
82710: RELI,"Psc Cuny Award  Grnt"
82711: RELI,"Schol Research  Grnt"
82712: RELI,"Sign Lang Instit Spn"
82713: RELI,"Stud Supp Srvs  Grnt"
82714: RELI,"Tutr Coun Srvs Grnt"
82715: RELI,"Vatea           Grnt"
82716: RUSS,"Elementary Russian I"
82717: RUSS,"Elementary Russian II"
82718: RUSS,"Int Elem Russian 1&2"
82719: RUSS,"Intermediate Russian"
82720: RUSS,"Russian Lit 20th Cen"
82721: RUSS,"Russian Lit Trans"
82722: RUSS,"Russian for Heritage Speakers"
82723: SCIE,"Found Phys Sci"
82724: SCIE,"Fundamentals of Physics I"
82725: SCIE,"Fundamentals of Physics II"
82726: SCIE,"General Physics 1"
82727: SCIE,"General Physics I"
82728: SCIE,"General Physics II"
82729: SCIE,"Gen’L Physics 3"
82730: SCIE,"Introduction to Modern Physics"
82731: SCIE,"Introductory Science"
82732: SCIE,"Life in the Universe"
82733: SCIE,"Mentoring"
82734: SCIE,"Res Meth Phys Sci"
82735: SCIE,"Research in Natural Sciences"
82736: SCIE,"Sci Res Skills Sem"
82737: SCIE,"Topics in Astronomy"
82738: SCIE,"Topics in Physics"
82739: SOCI,"Dev Sub Cult"
82740: SOCI,"Dominican Art&Cult"
82741: SOCI,"Ecuadorian Soc&Civil"
82742: SOCI,"Indep Stdy Soc Sci"
82743: SOCI,"Intro To Sociology"
82744: SOCI,"Soc of American Deaf Comm"
82745: SOCI,"Social Movements"
82746: SOCI,"Sociology of Education"
82747: SOCI,"Sociology of Organizations"
82748: SOCI,"Sociology of the Family"
82749: SOCI,"Women in Society"
82750: SOSC,"Afro-American History"
82751: SOSC,"Amer Hist Since 1865"
82752: SOSC,"Ancient Greek Civilization"
82753: SOSC,"Anthropology of Latin America"
82754: SOSC,"Caribbean Cultures"
82755: SOSC,"Community Psychology"
82756: SOSC,"Computers and Society"
82757: SOSC,"Corrections and Sentencing"
82758: SOSC,"Crime & Punishment"
82759: SOSC,"Crime Just Urban Soc"
82760: SOSC,"Criminology"
82761: SOSC,"Cultural Anthropology"
82762: SOSC,"East Asian Civ & Soc"
82763: SOSC,"Environmental Psychology"
82764: SOSC,"Environmental Sociology"
82765: SOSC,"FYS for Psychology"
82766: SOSC,"First Yr Semi Crim Just"
82767: SOSC,"Geography Independent  Study"
82768: SOSC,"Global Politics"
82769: SOSC,"History Minorities"
82770: SOSC,"History of Minorities"
82771: SOSC,"History of Minorities in  USA"
82772: SOSC,"History of New York City"
82773: SOSC,"History of US & World Affairs"
82774: SOSC,"Ideal Societies"
82775: SOSC,"Indep Study Pol Sci"
82776: SOSC,"Industrial Psychology"
82777: SOSC,"Intercultural Communications"
82778: SOSC,"International Economics"
82779: SOSC,"Intro Crimnl Justice"
82780: SOSC,"Intro Labor/Comm Org"
82781: SOSC,"Intro To Soc Biling"
82782: SOSC,"Introduction to Anthropology"
82783: SOSC,"Introduction to Archaelogy"
82784: SOSC,"Introduction to Macroeconomics"
82785: SOSC,"Introduction to Microeconomics"
82786: SOSC,"Lat-Am & Carib Hist"
82787: SOSC,"Latin Amer History"
82788: SOSC,"Latin Amer Politics"
82789: SOSC,"Latin American History 1"
82790: SOSC,"Latin American History 2"
82791: SOSC,"Law & Human Rights"
82792: SOSC,"Leadership"
82793: SOSC,"Modern Chinese History"
82794: SOSC,"Modern Japanese History"
82795: SOSC,"Native American History"
82796: SOSC,"Policing"
82797: SOSC,"Political Ideas and Ideologies"
82798: SOSC,"Politics of NYC"
82799: SOSC,"Practical Politics In New York"
82800: SOSC,"Principal & Practical Ch"
82801: SOSC,"Religion and Social Change"
82802: SOSC,"Roman Hist"
82803: SOSC,"Soc Sci Elec"
82804: SOSC,"Soc Sci Intensive"
82805: SOSC,"Social Science Elective"
82806: SOSC,"Social Science History Elec"
82807: SOSC,"Social Science Intensive"
82808: SOSC,"Ssa 110"
82809: SOSC,"Ssx_210"
82810: SOSC,"The Politics of Sexuality"
82811: SOSC,"The Urban Economy"
82812: SOSC,"The World Since 1900"
82813: SOSC,"Themes Amer History I"
82814: SOSC,"U.S. Power and Politics"
82815: SOSC,"Urb Std-Soc Blk Comm"
82816: SOSC,"Urban Anthropology"
82817: SOSC,"Urban Black Psychology"
82818: SOSC,"Urban Sociology"
82819: SOSC,"West Civilization II"
82820: SOSC,"Women in Society"
82821: SOSC,"Women in US Hist"
82822: SOSC,"Work In America"
82823: SOSC,"World Geography"
82824: SOSC,"World History I"
82825: SOSC,"World History II"
82826: SOSC,"Wstrn Civil Anc Times-Renaiss"
82827: SPAN,"Advanced Spanish Composition"
82828: SPAN,"Elem Spanish 1"
82829: SPAN,"Elementary Spanish 2"
82830: SPAN,"Elementary Spanish I"
82831: SPAN,"Elementary Spanish II"
82832: SPAN,"Hispanic & Inst"
82833: SPAN,"History Span Lang"
82834: SPAN,"Int Elem Spanish 1&2"
82835: SPAN,"Intermediate Spanish"
82836: SPAN,"Intermediate Spanish II"
82837: SPAN,"Introduction To Hispanic Lit"
82838: SPAN,"Language & Culture Spanish"
82839: SPAN,"Latin Amer Fict in Translation"
82840: SPAN,"Latin American Civilizations"
82841: SPAN,"Latin American Literature"
82842: SPAN,"Latin American Literature I"
82843: SPAN,"Latin American Literature II"
82844: SPAN,"Literature of the Caribbean"
82845: SPAN,"Soc Themes Lat Amr Lit"
82846: SPAN,"Span Hrtg Speak I"
82847: SPAN,"Span Hrtg Speak II"
82848: SPAN,"Spanish Fluent Speaker"
82849: SPAN,"Spanish Grammar & Usage"
82850: SPAN,"Spanish Literature I"
82851: SPAN,"Spanish Literature II"
82852: SPAN,"Spanish for Global Business"
82853: SPAN,"The Barrio"
82854: STAB,"Study Abroad"
82855: STDV,"CD Acad Strat"
82856: STDV,"CD Civic Scholars Program"
82857: STDV,"CD Emerging Leaders"
82858: STDV,"CD First Year Institute 1"
82859: STDV,"CD Hon & Leadrshp"
82860: STDV,"CD Hour"
82861: STDV,"CD Second Semester Seminar"
82862: STDV,"CD Study Group - BTA 111"
82863: STDV,"CD Study Group - ENG 101"
82864: STDV,"CD Study Group - MAT 115"
82865: STDV,"CD Study Group - MAT 117"
82866: STDV,"CD Study Group - MAT 119"
82867: STDV,"CD Study Group - MAT 120"
82868: STDV,"CD Study Group - MAT 96"
82869: STDV,"CD Study Group - MAT 99"
82870: STDV,"CD Study Group-MAT 95"
82871: STHR,"Biology Research (CN)"
82872: STHR,"Clinical 1st 6 Weeks"
82873: STHR,"Lab Hour"
82874: STHR,"Math Intervention 1"
82875: STHR,"Math Intervention 2"
82876: STHR,"Studio Hour"
82877: THEA,"Acting I"
82878: THEA,"Acting II"
82879: THEA,"Acting III: Auditioning"
82880: THEA,"Art of Theatre"
82881: THEA,"Cont Latino/a Theatre In US"
82882: THEA,"Creative Drama"
82883: THEA,"Design For Theatre"
82884: THEA,"Directing for the Stage"
82885: THEA,"Exp Learning Theatre"
82886: THEA,"FYS ID82887: THEA,"Rehearsal and Performance"
82888: THEA,"Script Analysis"
82889: THEA,"Theatre History"
82890: THEA,"Theatre Production Workshop"
82891: THEA,"Theatre as Communication"
82892: THEA,"Theatre:Renaissance To Modern"
82893: THEA,"Voice and Movement"
82894: TIBE,"Elementary Tibetan I"
82895: TIBE,"Elementary Tibetan II"
82896: TIBE,"Tibetan for Heritage Speakers"
82897: TRTO,"Advanced Tour Planning"
82898: TRTO,"Airline Res Computer"
82899: TRTO,"Airline Resrv 1"
82900: TRTO,"Basic Tour Planning"
82901: TRTO,"Customer Service and Sales"
82902: TRTO,"Destination Tourism Management"
82903: TRTO,"Front Office Management"
82904: TRTO,"Global Tourism Destinations"
82905: TRTO,"Hospitality HR Mgmt"
82906: TRTO,"Hospitality Industry Project"
82907: TRTO,"Hospitality Internship"
82908: TRTO,"Hospitality Law"
82909: TRTO,"Hospitality Technology Systems"
82910: TRTO,"Intro Hospitality"
82911: TRTO,"Lodging Mgmt"
82912: TRTO,"Meeting and Event Management"
82913: TRTO,"Special Interest Tourism"
82914: TRTO,"Trav Agency Ops Mgmt"
82915: UBST,"Applied Community Research"
82916: UBST,"Community Health"
82917: UBST,"Community Health Research"
82918: UBST,"Family School ECE"
82919: UBST,"Fnd Amer Ed Gr 1-6"
82920: UBST,"Fnd Amer Ed Gr 7-12"
82921: UBST,"Fnd Biling Ed"
82922: UBST,"Food and Culture"
82923: UBST,"Foundations ECE"
82924: UBST,"HIV/AIDS82925: UBST,"Hosp Marketing"
82926: UBST,"Intro to Vet Tech"
82927: UBST,"Introduction to Bilingualism"
82928: UBST,"Nutrition Care"
82929: UBST,"Profile Bus in NYC"
82930: UBST,"Puerto Rican Comm"
82931: UBST,"Science And Religion"
82932: UBST,"Wild New York"
82933: UBST,"World Langs. &  New York"
82934: UZBE,"Elementary Uzbek I"
82935: UZBE,"Elementary Uzbek II"
82936: UZBE,"Uzbek for Heritage Speakers"
82937: VETE,"Exotic Animal Medical Care"
82938: VETE,"Farm Animal Nursing"
82939: VETE,"Full-Time Clinical Internship"
82940: VETE,"Independent Study"
82941: VETE,"Intent to Vet Tech"
82942: VETE,"Intro to Veterinary Technology"
82943: VETE,"Principles of Animal Control"
82944: VETE,"Research Animal Technology"
82945: VETE,"Research Internship"
82946: VETE,"Shelt Med & Mgmt"
82947: VETE,"Transgenics"
82948: VETE,"Vet Lab Techniques"
82949: VETE,"Vet Tech Cluster"
82950: VETE,"Veterinary Nursing I"
82951: VETE,"Veterinary Nursing II"
82952: VETE,"Veterinary Pathophysiology"
82953: VETE,"Veterinary Pharma & Toxicology"
82954: VETE,"Veterinary Radiography"
