31215: ACCT,"Principles 1"
37118: EGCH,"Dissertation Research"
37119: EGCH,"Dissertation Supervi"
37120: EGCH,"Dissertation Supervision"
37121: EGCH,"Doctoral Research"
37122: EGCH,"El Chem Prin & Prac"
37123: EGCH,"Energy Systems Engr"
37124: EGCH,"Eng Sys For Glob Sus"
37125: EGCH,"Engr Science Lab"
37126: EGCH,"Environmental Engineering"
37127: EGCH,"Factory Trips"
37128: EGCH,"Flow Assurance issues in Crude"
37129: EGCH,"Fluid Mechanics Seminar"
37130: EGCH,"Fluid Particle Systems"
37131: EGCH,"Fluid Technology"
37132: EGCH,"Fluidization"
37133: EGCH,"Grad Research Projec"
37134: EGCH,"Hon Res Che Engr 1"
37135: EGCH,"Hon Res Che Engr 2"
37136: EGCH,"Hon Res Che Engr I"
37137: EGCH,"Independent Research I"
37138: EGCH,"Independent Research II"
37139: EGCH,"Independent Study"
37140: EGCH,"Interfacial Phenomena"
37141: EGCH,"Intrfcl Fluid Mech"
37142: EGCH,"Intro Che Prin Prac"
37143: EGCH,"Intro Materials Sci"
37144: EGCH,"Intro To Research Fund"
37145: EGCH,"Introduction to Process Safety"
37146: EGCH,"Ionic Liquids"
37147: EGCH,"Mass Transfer"
37148: EGCH,"Masters Research"
37149: EGCH,"Master’S Thesis"
37150: EGCH,"Master’s Project"
37151: EGCH,"Mat & Energy Balncs"
37152: EGCH,"Materials Science Laboratory"
37153: EGCH,"Mdlng In Chem Engr"
37154: EGCH,"Metallic Behavior"
37155: EGCH,"Metallic Behavior Lab"
37156: EGCH,"Molecular Simulation"
37157: EGCH,"Multiphase React"
37158: EGCH,"Nano Materials"
37159: EGCH,"Nanomaterials"
37160: EGCH,"Nanomaterials Lab"
37161: EGCH,"Nanotechnology"
37162: EGCH,"Non Metal Mat Lab"
37163: EGCH,"Non Metallic Behavior"
37164: EGCH,"Non-Newtonian Fluid Mechanics"
37165: EGCH,"Organic Flms & Anal"
37166: EGCH,"Particle Technology"
37167: EGCH,"Pharmaceutical Apps"
37168: EGCH,"Plymr Surfaces"
37169: EGCH,"Polymer Melt Process"
37170: EGCH,"Polymer Processing"
37171: EGCH,"Polymer Sci & Engr"
37172: EGCH,"Polymer Science & Engineering"
37173: EGCH,"Polymer Surf Intrfac"
37174: EGCH,"Powder S & T"
37175: EGCH,"Powder Science and Technology"
37176: EGCH,"Prin & Prac Chem Engr"
37177: EGCH,"Prin Mat Sci In Eng"
37178: EGCH,"Pro Dyn & Contrl 2"
37179: EGCH,"Prob Chem Reac Engr"
37180: EGCH,"Prob-Stat-Exp Design"
37181: EGCH,"Proc Control Lab"
37182: EGCH,"Proc Var Meas & Ctl"
37183: EGCH,"Proc Var Meas & Ctrl"
37184: EGCH,"Process Concepts"
37185: EGCH,"Process Dynamics and Control I"
37186: EGCH,"Report"
37187: EGCH,"Research Doctoral Dissertation"
37188: EGCH,"Rheology"
37189: EGCH,"Rheology Het Fluids"
37190: EGCH,"Rheology of Soft Materials"
37191: EGCH,"Selected Topics:Engr"
37192: EGCH,"Seminar"
37193: EGCH,"Separation Operations I"
37194: EGCH,"Separation Operations and Lab"
37195: EGCH,"Separations Operations"
37196: EGCH,"Simulation"
37197: EGCH,"Soft Materials Lab"
37198: EGCH,"Statistical Mechanics I"
37199: EGCH,"Statistical Mechanics II"
37200: EGCH,"Surf Anal Instrmntn"
37201: EGCH,"Syn Of Nano For P Ap"
37202: EGCH,"Tech-Prac Simulation"
37203: EGCH,"Technqs Ch E Design"
37204: EGCH,"Thermodyamics II"
37205: EGCH,"Thermodynamics 1"
37206: EGCH,"Thermodynamics 2"
37207: EGCH,"Thin Organ Film & Their Analys"
37208: EGCH,"Tissue Engineering"
37209: EGCH,"Tpcs:Mtrl Sci & Eng"
37210: EGCH,"Transport Operations"
37211: EGCH,"Transport Phenomena I"
37212: EGCH,"Transport Phenomena II"
37213: EGCH,"Transpt Phenomena II"
37214: EGCH,"Undergrad Thesis"
37215: EGCH,"Unit Oper Lab 2"
37216: EGCH,"Unit Oper Lab I"
37217: EGCH,"Unit Operations 1"
37218: EGCH,"Unit Operations 2"
37219: EGCH,"Unit Operations I"
37220: EGCH,"Unit Operations Laboratory I"
37221: EGCH,"Viscous Flow Theory"
37222: EGCH,"Viscous Flow Thry 2"
37223: EGCH,"Viscus Flow Theory"
37224: EGCI,"Adv Finite Elements"
37225: EGCI,"Adv Indetrm Struc 1"
37226: EGCI,"Adv Mcro-Scale Hydro"
37227: EGCI,"Adv Soil Mech 1"
37228: EGCI,"Adv Soil Mech 2"
37229: EGCI,"Adv Steel Design"
37230: EGCI,"Adv Struct Design"
37231: EGCI,"Adv Transprt Plning"
37232: EGCI,"Adv Trnsprtatn Plng"
37233: EGCI,"Advance Structural Design"
37234: EGCI,"Advanced Data Analysis"
37235: EGCI,"Advanced Finite Elements"
37236: EGCI,"Advanced Geomechanics"
37237: EGCI,"Advanced Hydraulics"
37238: EGCI,"Advanced Reinforced Concrete"
37239: EGCI,"Advanced Soil Mechanics"
37240: EGCI,"Advanced Strength of Materials"
37241: EGCI,"Advanced Structural Design"
37242: EGCI,"Advanced Traffic Engineering"
37243: EGCI,"Air Poll & Atmos Chm"
37244: EGCI,"Air Pollut Measuremt"
37245: EGCI,"Air Pollutant Measurement"
37246: EGCI,"Air Pollution"
37247: EGCI,"Air Pollution Management"
37248: EGCI,"Air Pollution and Control"
37249: EGCI,"Airport Design and Planning"
37250: EGCI,"Ambient Air Quality Modeling"
37251: EGCI,"Analysis-Design"
37252: EGCI,"Analytical Meth Ce"
37253: EGCI,"Analytical Techniques Transpor"
37254: EGCI,"Appld Hydrlcs Engr"
37255: EGCI,"Aquatic Systms Anal"
37256: EGCI,"Arches-Shells-Pltes"
37257: EGCI,"Asses-Rehab Struc"
37258: EGCI,"Bilogcl Trtmnt Proc"
37259: EGCI,"Bio Sys Envir Engr"
37260: EGCI,"Bio Sys Envrn Engring"
37261: EGCI,"Bridge Engineering"
37262: EGCI,"C E Data Analysis"
37263: EGCI,"C E Materials"
37264: EGCI,"C E Systems Anal"
37265: EGCI,"CE Decisn & Sys Analysis"
37266: EGCI,"Civil Engineering Management"
37267: EGCI,"Cmptr Aided Dsgn"
37268: EGCI,"Cnstrctn Failures"
37269: EGCI,"Cnstrctn Proj Mgmnt"
37270: EGCI,"Comp Methods Civil Engineer"
37271: EGCI,"Composites Mod Struc"
37272: EGCI,"Composites-Mod Stru"
37273: EGCI,"Computer Methods in Design"
37274: EGCI,"Con Asses-Rehab Strc"
37275: EGCI,"Concrete Sustainability"
37276: EGCI,"Const Plan Job Mgmt"
37277: EGCI,"Construction Engineering"
37278: EGCI,"Construction Project Mngment"
37279: EGCI,"Contracts & Specs"
37280: EGCI,"Contracts and Specifications"
37281: EGCI,"Curnt Prbl Env Engr"
37282: EGCI,"Curr Prblms Env Eng"
37283: EGCI,"Data Anal/Stat Inf"
37284: EGCI,"Design of Wood Structures"
37285: EGCI,"Dissertation Research"
37286: EGCI,"Dissertation Superv"
37287: EGCI,"Doctoral Dissertation Research"
37288: EGCI,"Dynam Of C E Syst"
37289: EGCI,"Earthquake Engineering"
37290: EGCI,"Earthquake Engrng"
37291: EGCI,"Econ Plan & Mgnt"
37292: EGCI,"Elasticy-Plasticity"
37293: EGCI,"Engineering Hydrology"
37294: EGCI,"Engineering Policy and Design"
37295: EGCI,"Engr Plan & Mgmt"
37296: EGCI,"Environ Engr Anal"
37297: EGCI,"Environment Engr"
37298: EGCI,"Environmental Engineering"
37299: EGCI,"Environmental Engineering I"
37300: EGCI,"Environmental Law"
37301: EGCI,"Environmental Water Resources"
37302: EGCI,"Environmentl Engr 1"
37303: EGCI,"Envrnmntl Engr Anal"
37304: EGCI,"Envrnmntl Engrng 2"
37305: EGCI,"Envrnmntl Impact Assessment"
37306: EGCI,"Exper Fluid Mech"
37307: EGCI,"Ferro Cement"
37308: EGCI,"Finit El Anal Struc"
37309: EGCI,"Finit El Meths Engr"
37310: EGCI,"Finite & Bndry Elem"
37311: EGCI,"Flex & Rigid Pavmnt"
37312: EGCI,"Flex and Rigid Pavements"
37313: EGCI,"Flexbl/Rigid Pvmnt"
37314: EGCI,"Flow Thru Porus Med"
37315: EGCI,"Fluid Mech 1"
37316: EGCI,"Fluid Mech Lab"
37317: EGCI,"Fluid Mechanics"
37318: EGCI,"Fluids Systems Dsgn"
37319: EGCI,"For-Hire Transportation"
37320: EGCI,"Foundation Engineering"
37321: EGCI,"Foundation Engr"
37322: EGCI,"Fracture Mechanics"
37323: EGCI,"Frp Comp In Str Engr"
37324: EGCI,"Geogrph Info Sys Ce"
37325: EGCI,"Geom Dsgn Of Facil"
37326: EGCI,"Geometric Design"
37327: EGCI,"Geometric Design of Facilities"
37328: EGCI,"Gis Trnspt Modeling"
37329: EGCI,"Gis Water Resources"
37330: EGCI,"Grndwtr Hydrol-Res"
37331: EGCI,"Grndwtr Poll & Hyd"
37332: EGCI,"Groundwater Hydrology&Contam"
37333: EGCI,"Hgh-Rse Bld Dsgn/Anl"
37334: EGCI,"Highway & Traf Engr"
37335: EGCI,"Highway & Trfc Engr"
37336: EGCI,"Highway Engineering"
37337: EGCI,"Highway-Airport Construction"
37338: EGCI,"Hwy & Airport Const"
37339: EGCI,"Hwy & Airport Constr"
37340: EGCI,"Hydraulic Engineering"
37341: EGCI,"Hydraulics"
37342: EGCI,"Hydraulics & Hydrology"
37343: EGCI,"Impcts Trnsport Sys"
37344: EGCI,"Independent Study"
37345: EGCI,"Indstl Wstwr Trmnt"
37346: EGCI,"Inlstc Bdys Strctrs"
37347: EGCI,"Interregional Trnsp"
37348: EGCI,"Intro Struc Mech"
37349: EGCI,"Introduction to CE"
37350: EGCI,"Introduction to Transportation"
37351: EGCI,"Its:Fundmntls-Applc"
37352: EGCI,"Its:Fundmntls/Appl"
37353: EGCI,"Lin-Non-Lin Analysis Str"
37354: EGCI,"Linear Analysis of Structures"
37355: EGCI,"Macro-Scale Hydrology"
37356: EGCI,"Master Thesis"
37357: EGCI,"Masters Research"
37358: EGCI,"Materials of Engineering Lab"
37359: EGCI,"Math Methods C E"
37360: EGCI,"Matrls Of Engr Lab"
37361: EGCI,"Mech Of Materials 1"
37362: EGCI,"Mech Of Matrls 1"
37363: EGCI,"Mechanics of Deformable Bodies"
37364: EGCI,"Mechanisms of Matrls II"
37365: EGCI,"Mth Wtr Res-Env Eng"
37366: EGCI,"Mth:Wtr Res-Env Eng"
37367: EGCI,"Multi-Modal Transport Technol"
37368: EGCI,"Nat Res Mon & Env As"
37369: EGCI,"Num Mth/Sim Fld Flow"
37370: EGCI,"Passenger Terminals"
37371: EGCI,"Pavement Management Systems"
37372: EGCI,"Physcl Distrib Syst"
37373: EGCI,"Physcl Dstrbtn Sys"
37374: EGCI,"Plant Design"
37375: EGCI,"Plas Anal Dsgn Stru"
37376: EGCI,"Plates and Shells"
37377: EGCI,"Port Dsgn & Plnng"
37378: EGCI,"Prestressed Concrete"
37379: EGCI,"Prestrssed Concrete"
37380: EGCI,"Principles of Biological Waste"
37381: EGCI,"Principles of Drinking Water T"
37382: EGCI,"Project"
37383: EGCI,"Rail Design System"
37384: EGCI,"Rail System Design"
37385: EGCI,"Rating Rehab Bridges"
37386: EGCI,"Regltry Issues Tran"
37387: EGCI,"Reinforc Concrete"
37388: EGCI,"Reinforced Concrete"
37389: EGCI,"Reinfrcd Concrete 2"
37390: EGCI,"Remote Sens Of Env"
37391: EGCI,"Report"
37392: EGCI,"Resea Doctoral Disse"
37393: EGCI,"Research Methods C E"
37394: EGCI,"Reserch Doctoral Dissertation"
37395: EGCI,"Review Civil Engineering Fund"
37396: EGCI,"Rmdatn Tec Haz Wastes & Sites"
37397: EGCI,"Rmt Sns Wtr-Env Eng"
37398: EGCI,"Rsrch Doctoral Disstn"
37399: EGCI,"Sanitary Engineering I"
37400: EGCI,"Sanitary Engr 2"
37401: EGCI,"Sel Topics Civ Engr"
37402: EGCI,"Seminars"
37403: EGCI,"Senior Design Project"
37404: EGCI,"Senior Dsgn Proj 1"
37405: EGCI,"Soil Dynamics"
37406: EGCI,"Soil Mech & Fdns II"
37407: EGCI,"Soil Mechanics"
37408: EGCI,"Soil Mechanics 1"
37409: EGCI,"Solid Waste Management"
37410: EGCI,"Solid Waste Reuse/Recycling"
37411: EGCI,"Special Topics"
37412: EGCI,"Srvyng Camp-Ex Cvge"
37413: EGCI,"Stability of Structures"
37414: EGCI,"Statics"
37415: EGCI,"Structr Reliability"
37416: EGCI,"Structural Anal 1"
37417: EGCI,"Structural Analysis"
37418: EGCI,"Structural Analysis 2"
37419: EGCI,"Structural Design"
37420: EGCI,"Structural Dynamics"
37421: EGCI,"Structural Reliability"
37422: EGCI,"Structural and Site Plans"
37423: EGCI,"Structures 1"
37424: EGCI,"Structures 2"
37425: EGCI,"Structures I"
37426: EGCI,"Surface Water Quality Modeling"
37427: EGCI,"Surveying 1"
37428: EGCI,"Surveying Camp"
37429: EGCI,"Surveying I"
37430: EGCI,"Sustainability Civil Engineer"
37431: EGCI,"Sustainability In Ce"
37432: EGCI,"Sustainable Concrete"
37433: EGCI,"Teaching Weather & C"
37434: EGCI,"Topic-Civil Engineering Design"
37435: EGCI,"Topics In Civil Engineering"
37436: EGCI,"Traff Safty & Ivhs"
37437: EGCI,"Traffic Capacity Analysis"
37438: EGCI,"Traffic Control"
37439: EGCI,"Traffic Engineering"
37440: EGCI,"Traffic Engineering Studies"
37441: EGCI,"Traffic Engineering Study"
37442: EGCI,"Traffic Flow Theory"
37443: EGCI,"Transit Planning"
37444: EGCI,"Transit Sys: Planning & Oper"
37445: EGCI,"Transit Systems: Planning and"
37446: EGCI,"Transp & Envirnment"
37447: EGCI,"Transp & Urban Syst"
37448: EGCI,"Transp Asset Management"
37449: EGCI,"Transp Freight Plng"
37450: EGCI,"Transport Network Analysis"
37451: EGCI,"Transportation Econ"
37452: EGCI,"Transportation Economics"
37453: EGCI,"Transportation Engineering"
37454: EGCI,"Transportation Engineering I"
37455: EGCI,"Transportation Finance"
37456: EGCI,"Transportation Planning"
37457: EGCI,"Transportation Pol"
37458: EGCI,"Transportation Policy"
37459: EGCI,"Transportation Policy and Sust"
37460: EGCI,"Transportation Porous Media"
37461: EGCI,"Transportation Safety"
37462: EGCI,"Transportation Supply"
37463: EGCI,"Transportation and Land Use"
37464: EGCI,"Transportatn Safety"
37465: EGCI,"Travel Demand Forecasting"
37466: EGCI,"Treatment Plant Design"
37467: EGCI,"Trffc Engrng Study"
37468: EGCI,"Trns Pol-Mngmnt Adm"
37469: EGCI,"Trnsp Project Eval"
37470: EGCI,"Trnsportatn Sys Engr"
37471: EGCI,"Trnspt Proj Evalutn"
37472: EGCI,"Trnsptn & Eco Devl"
37473: EGCI,"Trnsptn Engrng 1"
37474: EGCI,"Trvl Dmnd Forcstng"
37475: EGCI,"Urban Freight and City Logis"
37476: EGCI,"Urban Freight and City Logisti"
37477: EGCI,"Urban Public Transp"
37478: EGCI,"Urban Transportation"
37479: EGCI,"Urban Transportation Planning"
37480: EGCI,"Water Hydraulics"
37481: EGCI,"Water Poll Control"
37482: EGCI,"Water Quality Analysis"
37483: EGCI,"Water Res Of Hudson"
37484: EGCI,"Water Resources Modeling"
37485: EGCI,"Water Wastewater Trt"
37486: EGCI,"Water and Environmental Resour"
37487: EGCI,"Water and Wastewater Treatment"
37488: EGCI,"Watr Resourc Modlng"
37489: EGCI,"Wind Effects on Structures"
37490: EGCI,"Wswtr Trmnt Plt Des"
37491: EGCI,"Wtr Resources Mdlng"
37492: EGCI,"Wtr Resources Systm"
37493: EGEL,"5G Technologies and IoT"
37494: EGEL,"Ad Sem:Photonics Eng"
37495: EGEL,"Adv Cmmncatn Theory"
37496: EGEL,"Adv Micro Rem Sensng"
37497: EGEL,"Adv Seminar in Photography"
37498: EGEL,"Adv Stat&Non Linr An"
37499: EGEL,"Adv Topics Digital Integrated"
37500: EGEL,"Adv Tops Cntrl Thry"
37501: EGEL,"Advanced Computer Architecture"
37502: EGEL,"Advanced Mobile Robotics"
37503: EGEL,"Advanced Seminar"
37504: EGEL,"Advanced Wireless Networks"
37505: EGEL,"Ana & Des Intel Sys"
37506: EGEL,"Anal Of Non-Linear"
37507: EGEL,"Anal/Des Intell Sys"
37508: EGEL,"Analog Computer Lab"
37509: EGEL,"Analog Integrated Circuits"
37510: EGEL,"Analysis 1"
37511: EGEL,"Analysis 2"
37512: EGEL,"Analysis 3"
37513: EGEL,"Analysis 4"
37514: EGEL,"Analysis 5"
37515: EGEL,"Analysis Random Syst"
37516: EGEL,"Antenna Theory"
37517: EGEL,"Antennas37518: EGEL,"App Opt Sgnl Proc"
37519: EGEL,"App Stats-Data Anal"
37520: EGEL,"Appld Pattrn Recog"
37521: EGEL,"Applied Algebra"
37522: EGEL,"Artificial Intel for Engr Apps"
37523: EGEL,"Artificial Intelligence Soluti"
37524: EGEL,"Biomed Imaging"
37525: EGEL,"Bmd Sig Pro Instrum"
37526: EGEL,"Circuit-Systms Anal"
37527: EGEL,"Cmptr Anal Tools Ee"
37528: EGEL,"Cntrl & Robtcs Dsgn"
37529: EGEL,"Comm Protocol Engineering"
37530: EGEL,"Comm Protocol Engr"
37531: EGEL,"Communctn Electrncs"
37532: EGEL,"Communicat Systems"
37533: EGEL,"Communication Electronics"
37534: EGEL,"Communication System Design La"
37535: EGEL,"Communication Systems Design"
37536: EGEL,"Communication Theory"
37537: EGEL,"Comp Aided Digital VLSI Circ"
37538: EGEL,"Comp Anal Des-Syst"
37539: EGEL,"Comp Interface Sens"
37540: EGEL,"Components Pwr Syst"
37541: EGEL,"Computer Comm Networks"
37542: EGEL,"Computer Communication Systems"
37543: EGEL,"Computer Engineering Lab"
37544: EGEL,"Computer Evaluation"
37545: EGEL,"Computer Networks"
37546: EGEL,"Computer-Aided Circuit Design"
37547: EGEL,"Comunctns Electrncs"
37548: EGEL,"Comunications Protcl Engr"
37549: EGEL,"Contr Syst Thery 2"
37550: EGEL,"Control Laboratory"
37551: EGEL,"Control Syst Lab"
37552: EGEL,"Cryptology"
37553: EGEL,"Data Network Design"
37554: EGEL,"Data Ntwk Dsgn Proj"
37555: EGEL,"Data and Computer Comm"
37556: EGEL,"Database Design"
37557: EGEL,"Dgl Cmctn/Dspv Chnl"
37558: EGEL,"Dgtl Comp Systems"
37559: EGEL,"Diessertation Superv"
37560: EGEL,"Dig Sig Processing Algorithms"
37561: EGEL,"Digital Communication 1"
37562: EGEL,"Digital Computer Systems"
37563: EGEL,"Digital Computers"
37564: EGEL,"Digital Computers 1"
37565: EGEL,"Digital Computers II"
37566: EGEL,"Digital Data Comm"
37567: EGEL,"Digital Data Communications II"
37568: EGEL,"Digital Design using Verilog"
37569: EGEL,"Digital Filter Desg"
37570: EGEL,"Digital Filter Design"
37571: EGEL,"Digital Integrated Circuits"
37572: EGEL,"Digital Signal Proc"
37573: EGEL,"Digital Signal Processing"
37574: EGEL,"Digital Speech Proc"
37575: EGEL,"Digital Syst Arch"
37576: EGEL,"Digital Systems Design"
37577: EGEL,"Digital Systems Lab"
37578: EGEL,"Digital Systems Laboratory"
37579: EGEL,"Digital Systm Arch"
37580: EGEL,"Digitial Computer Systems"
37581: EGEL,"Dir Energy Conversn"
37582: EGEL,"Dir Enrgy Cnvrsn"
37583: EGEL,"Direct Energy Conversion"
37584: EGEL,"Dissertation Superv"
37585: EGEL,"Dissertation Supervised"
37586: EGEL,"Dissertation Supervision"
37587: EGEL,"Doc Dissertation"
37588: EGEL,"Doctoral Dissertatio"
37589: EGEL,"Doctoral Dissertation"
37590: EGEL,"Doctoral Dissertation Supervis"
37591: EGEL,"Doctoral Dissertatn"
37592: EGEL,"Doctoral Dissertion Research"
37593: EGEL,"Dsgn Ctrl Pwr Sys 2"
37594: EGEL,"Dsgn Fdbk Cntrl Sys"
37595: EGEL,"Dyn/Cntrls Aersp Veh"
37596: EGEL,"E E Lab 1"
37597: EGEL,"E E Lab 2"
37598: EGEL,"E E Lab 4"
37599: EGEL,"E Proj:Eco Anal-Inv"
37600: EGEL,"Elec Engr 1"
37601: EGEL,"Elec Engr 2"
37602: EGEL,"Elec Engr Seminar 1"
37603: EGEL,"Elec Power Lab 1"
37604: EGEL,"Elec Syst & Control"
37605: EGEL,"Electric Power Engineering"
37606: EGEL,"Electrical Engineering Lab 3"
37607: EGEL,"Electro-Optics"
37608: EGEL,"Electromagnetics"
37609: EGEL,"Electronics I"
37610: EGEL,"Electronics II"
37611: EGEL,"Elements of Control Theory"
37612: EGEL,"Elements of Power Systems"
37613: EGEL,"Elmnts Power Systms"
37614: EGEL,"Engr Electrodynam II"
37615: EGEL,"Engr Systems Mngmnt"
37616: EGEL,"Entrepreneurship"
37617: EGEL,"Fiber Optic Communications"
37618: EGEL,"Fiber Optic Communications I"
37619: EGEL,"Fiber Optic Communications II"
37620: EGEL,"Fiber-Optic Com Systems Design"
37621: EGEL,"Graduate Laboratory"
37622: EGEL,"Graph Theory"
37623: EGEL,"Hardware Security"
37624: EGEL,"High Speed Networks"
37625: EGEL,"I P Routing"
37626: EGEL,"Image Processing"
37627: EGEL,"Image Processing Recognition"
37628: EGEL,"Imge Proc & Rcogntn"
37629: EGEL,"Imgng & Img Pro:Bmd"
37630: EGEL,"Ind Stud Proj"
37631: EGEL,"Ind Stud/Proj"
37632: EGEL,"Independent Study"
37633: EGEL,"Independent Study Project"
37634: EGEL,"Independent Study/Project"
37635: EGEL,"Industrl Robotics 1"
37636: EGEL,"Infmtn Thry Cding"
37637: EGEL,"Int Quantum Opt Comm"
37638: EGEL,"Integrated Circuits I"
37639: EGEL,"Intgrted Circuits 1"
37640: EGEL,"Intgrted Circuits 2"
37641: EGEL,"Into:Adaptiv Control"
37642: EGEL,"Intro Lab Practice"
37643: EGEL,"Intro Masers-Lasers"
37644: EGEL,"Intro Modern Control Theory"
37645: EGEL,"Intro To Robotics"
37646: EGEL,"Intro to Digital Image Process"
37647: EGEL,"Intro to Lasers"
37648: EGEL,"Intro to Robotics"
37649: EGEL,"Introduction to Cyber Security"
37650: EGEL,"Introduction to Lasers"
37651: EGEL,"Ip Routing"
37652: EGEL,"Knowledge Based Sys"
37653: EGEL,"Linear Feedback Systems"
37654: EGEL,"Linear Sys Anal 1"
37655: EGEL,"Linear Sys Anal 2"
37656: EGEL,"Linear Systems Analysis I"
37657: EGEL,"Linear Systems Analysis II"
37658: EGEL,"Local Area Network Laboratory"
37659: EGEL,"Local Area Networks"
37660: EGEL,"Local Area Ntwrk Lab"
37661: EGEL,"MOS Devices and Circuits"
37662: EGEL,"Man Org Beh In Engr"
37663: EGEL,"Management Concepts Engineers"
37664: EGEL,"Masters Project"
37665: EGEL,"Masters Research"
37666: EGEL,"Master’s Thesis"
37667: EGEL,"Material Science"
37668: EGEL,"Mcrv Smi Cnctr Dvc"
37669: EGEL,"Mcrv Smi Cndctr Dvc"
37670: EGEL,"Measurements 1"
37671: EGEL,"Measurements 2"
37672: EGEL,"Micro Basd Sys Dsgn"
37673: EGEL,"Micro Mouse Design"
37674: EGEL,"Microprocessors"
37675: EGEL,"Microwave Elect"
37676: EGEL,"Microwave Electrncs"
37677: EGEL,"Microwave Electronics"
37678: EGEL,"Microwave Engineering Design"
37679: EGEL,"Microwave Laboratory"
37680: EGEL,"Microwave Networks"
37681: EGEL,"Mobile Robotics"
37682: EGEL,"Modelling Com Systm"
37683: EGEL,"Multi Disc-Prod Dsg"
37684: EGEL,"Multi-D Sgnl Proc"
37685: EGEL,"Multidimensional Signl Process"
37686: EGEL,"Network Security"
37687: EGEL,"Network Theory 1"
37688: EGEL,"Neural Networks"
37689: EGEL,"Neural Networks and Deep Learn"
37690: EGEL,"Non-Ln Sig Pro-Bmed"
37691: EGEL,"Nonlinear Optics"
37692: EGEL,"Numerical Mdlng E E"
37693: EGEL,"Nxt Gen Optical Wks"
37694: EGEL,"Optic Remote Sensng"
37695: EGEL,"Optical Comm"
37696: EGEL,"Optical Fiber Comm"
37697: EGEL,"Optical Signal Processing"
37698: EGEL,"Parallel Comp Arch"
37699: EGEL,"Parallel Processing"
37700: EGEL,"Penetration Testing & Ethical"
37701: EGEL,"Photonic Engineering"
37702: EGEL,"Photonic Engrng"
37703: EGEL,"Photonics Engineering Lab"
37704: EGEL,"Photonin Eng"
37705: EGEL,"Phys Electron Lab"
37706: EGEL,"Physical Electronics"
37707: EGEL,"Physical Electronics I"
37708: EGEL,"Physical Electronics II"
37709: EGEL,"Power Electronics"
37710: EGEL,"Power System Design"
37711: EGEL,"Power Systems"
37712: EGEL,"Power Systems Analysis 1"
37713: EGEL,"Prob & Stochstc Pro"
37714: EGEL,"Probabal/Stochstic Processes"
37715: EGEL,"Probability and Statistics"
37716: EGEL,"Programming For E E"
37717: EGEL,"Project Management"
37718: EGEL,"Projects 2"
37719: EGEL,"Quantum Electronics"
37720: EGEL,"Random Functions"
37721: EGEL,"Remote Sensing"
37722: EGEL,"Remote Snsng-Surv"
37723: EGEL,"Renewable Energy"
37724: EGEL,"Report"
37725: EGEL,"Res For The Doct Dis"
37726: EGEL,"Research Doctoral Dissertation"
37727: EGEL,"Rf/Microwave Design"
37728: EGEL,"Robotics"
37729: EGEL,"Rsch Doctral Dissert"
37730: EGEL,"Rt/Prt Mesh Opt Ntwk"
37731: EGEL,"Secure Internet of Things Desi"
37732: EGEL,"Semi-condu Materials & Devices"
37733: EGEL,"Seminar"
37734: EGEL,"Senior Design 1"
37735: EGEL,"Senior Design II"
37736: EGEL,"Signal Processing Design"
37737: EGEL,"Signal Theory"
37738: EGEL,"Signals & Noise"
37739: EGEL,"Smicndctr Mat Dev 2"
37740: EGEL,"Snr Dsgn 2 For Comp Engr"
37741: EGEL,"Snr Dsgn I For Comp Engr"
37742: EGEL,"Solid State Design"
37743: EGEL,"Solid State Devices Laboratory"
37744: EGEL,"Sp Tp:Remote Sensing"
37745: EGEL,"Spread Spectrum"
37746: EGEL,"Stat Communications"
37747: EGEL,"Statistical Commctn Theory"
37748: EGEL,"Strategic Comm Sys"
37749: EGEL,"Strategic Comm Syst"
37750: EGEL,"Switching Systems"
37751: EGEL,"Switching Systems 1"
37752: EGEL,"System Theory"
37753: EGEL,"Telc Ntwk Elmnt Mngt"
37754: EGEL,"Telecom Netwrk Elmt Engr"
37755: EGEL,"Theory Random Proc"
37756: EGEL,"Theory of Linear Systems"
37757: EGEL,"Topic & Iss Climate"
37758: EGEL,"VLSI Design"
37759: EGEL,"Vhdl & Log Syn"
37760: EGEL,"Vlsi Des Testabil 2"
37761: EGEL,"Vlsi Des Testability"
37762: EGEL,"Vlsi Design"
37763: EGEL,"Vlsi Syst Synthesis"
37764: EGEL,"Wavelets-Filter Bnks"
37765: EGEL,"Wireless Communication"
37766: EGEL,"Wireless Communications"
37767: EGEL,"Wirls Multimed Net"
37768: EGEL,"Ylsi Design"
37769: EGME,"Accidental Injury Biomechanics"
37770: EGME,"Ad Tp:Fluid Dynamics"
37771: EGME,"Adv Concpts in Mech Vibrations"
37772: EGME,"Adv Engr Thermodyn"
37773: EGME,"Adv Stress Analysis"
37774: EGME,"Adv. Computational Fluid Mecha"
37775: EGME,"Advanced Analytic Dynamic"
37776: EGME,"Advanced Fluid Mechanics"
37777: EGME,"Advanced Heat Transfer"
37778: EGME,"Advanced Mechatronics"
37779: EGME,"Advanced Stress Analysis"
37780: EGME,"Aero-Thermal-Fluids Laboratory"
37781: EGME,"Aerodynamic Design"
37782: EGME,"Aerostructures"
37783: EGME,"Aircraft and Rocket Propulsion"
37784: EGME,"Analysis Mechanisms"
37785: EGME,"Appl Fluid Dynam"
37786: EGME,"Applied Fluid Mech"
37787: EGME,"Applied Plasticity"
37788: EGME,"Applied Stress Analysis"
37789: EGME,"Auto Safety Design"
