62689: ACCT,"Advanced Federal Taxation"
64056: SPEE,"Mass Media"
64057: SPEE,"Oral Interpretation"
64058: SPEE,"Phonetics"
64059: SPEE,"Small Group Communication"
64060: SPEE,"Speech Arts Nursery Elem Sch"
64061: SPEE,"Speech Problems of Children"
64062: SPEE,"Sur Spe64063: SPEE,"Survey of Communication"
64064: SPEE,"Teach Speech Pre K-6"
64065: SPEE,"Virt Comm Ent"
64066: SPEE,"Voice and Articulation"
64067: STAB,"Basic Methods Jew Educ"
64068: STAB,"Study Abroad Course"
64069: STAB,"Study Abroad Course - 2 Cr"
64070: STAB,"Study Abroad Course - 3 Cr"
64071: STAB,"Study Abroad Course - 4 Cr"
64072: STAB,"Study Abroad Course - 5 Cr"
64073: STAB,"Study Abroad Course - 6 Cr"
64074: STAB,"Study Abroad Course 2 Cr"
64075: STAB,"Study Abroad Course 4 Cr"
64076: STAB,"Study Abroad Course 6 credits"
64077: STAB,"Study Abroad Crs 3cr"
64078: STDV,"Career and Life Planning"
64079: STDV,"Career/Life Planning"
64080: STDV,"Coll/Career Exp/Para"
64081: STDV,"Freshman Seminar"
64082: STDV,"IS Student Development"
64083: STDV,"Intro College Plan"
64084: STDV,"Strategies for College Success"
64085: STDV,"Student Development ASAP"
64086: STRM,"CUNY Start Math"
64087: STRM,"Math Start"
64088: STRR,"CUNY Start Reading"
64089: STRR,"CUNY Start Writing"
64090: THEA,"Acting I: Fundmntls of Acting"
64091: THEA,"Acting II: Scene Study"
64092: THEA,"Acting: Classical Styles"
64093: THEA,"Advanced Theatrical Practicum"
64094: THEA,"Arts Administration Management"
64095: THEA,"Basic Sound Technology"
64096: THEA,"Fundamntls Theatrical Lighting"
64097: THEA,"His Theatre: Origins- Jacobean"
64098: THEA,"Hist: Amer Musical Theatre"
64099: THEA,"IS Acting II: Scene Study"
64100: THEA,"IS Play Production"
64101: THEA,"IS Voice and Diction - Actor"
64102: THEA,"Independent Study: Theater"
64103: THEA,"Independent Study: Theatre"
64104: THEA,"Intro Costume/Make-Up"
64105: THEA,"Intro Theatre Design & Tech"
64106: THEA,"Introduction to Theatre Arts"
64107: THEA,"Musical Theatre Performance"
64108: THEA,"Musical Theatre Vocal Skills"
64109: THEA,"Performance Practicum"
64110: THEA,"Play Analysis"
64111: THEA,"Playwriting"
64112: THEA,"Prep For Auditioning"
64113: THEA,"Production Practicum"
64114: THEA,"Puppetry"
64115: THEA,"Scenic Design"
64116: THEA,"Stage Management"
64117: THEA,"Virtual Arts Administration"
64118: THEA,"Voice and Diction - Actor"
64119: TOHO,"Airport & Aviation Sec/Mgmt"
64120: TOHO,"Aviation and Airport Security"
64121: TOHO,"Business of Tourism & Hosp"
64122: TOHO,"Case Studies in Tourism & Hosp"
64123: TOHO,"Comparative Hospitality Venues"
64124: TOHO,"Cruiseline Adm & Mgt"
64125: TOHO,"Cruiseline Marketing and Sales"
64126: TOHO,"Cruises and Specialty Markets"
64127: TOHO,"Cultural Food: Geo Food & Wine"
64128: TOHO,"Current Iss Tourism"
64129: TOHO,"Destination Analysis"
64130: TOHO,"Destination Geography"
64131: TOHO,"E-Comm In Virt Tah"
64132: TOHO,"E-Commerce/Virtual Enterprise"
64133: TOHO,"Event Catering Management"
64134: TOHO,"Event Planning and Operations"
64135: TOHO,"Field Exp Tourism&Hospitality"
64136: TOHO,"Financial Decision Making"
64137: TOHO,"Front Office Operations"
64138: TOHO,"Geographic Highlights"
64139: TOHO,"Hotel Property Management Sys"
64140: TOHO,"Housekeeping Management"
64141: TOHO,"IS Adv Conc Airline Cp"
64142: TOHO,"IS Comp Concepts Trans"
64143: TOHO,"IS Cruises & Specialty Markets"
64144: TOHO,"IS Destination Geo"
64145: TOHO,"IS Destination Logistic"
64146: TOHO,"IS Hospitality Ind"
64147: TOHO,"IS Simulation Practicum"
64148: TOHO,"IS Tourism & Hosp"
64149: TOHO,"IS Tourism Entrepreneurship"
64150: TOHO,"IS Virtual Enterprise"
64151: TOHO,"IS: Comp Reserve Sys"
64152: TOHO,"Indep Stud Rest/Food Serv Oper"
64153: TOHO,"Independent Study: Bus of TAH"
64154: TOHO,"Interpretive Guiding"
64155: TOHO,"Intro Baking and Pastry"
64156: TOHO,"Intro to Prof Food Service"
64157: TOHO,"Intro-Travel and Tourism"
64158: TOHO,"Introductory Foods"
64159: TOHO,"Labor Relations/Cust Service"
64160: TOHO,"Logistics & Transportation"
64161: TOHO,"Meeting & Convention Planning"
64162: TOHO,"TAH Integ Studies Seminar"
64163: TOHO,"TAH Virtual Enterprise"
64164: TOHO,"The Virtual Enterprise"
64165: TOHO,"Tourism & Hosp Marketing"
64166: TOHO,"Tourism Entrepreneurship"
64167: TOHO,"Tourism Technology"
64168: TOHO,"Travel Hosp Seminar"
64169: YIDD,"Yiddish Cinema"
64170: YIDD,"Yiddish Lit in Trans"
