10740: ACCT,"Accounting for the S.E.C"
12049: EDMI,"Inst Prac M.Schl Cur"
12050: EDMI,"Instruct Stratgy Mid Schl & HS"
12051: EDMI,"Internship in Classroom Teach"
12052: EDMI,"Intr Educ-Non-Tradit"
12053: EDMI,"Intro To 2ndry Educ"
12054: EDMI,"Lang&Litcy Acquisition 2nd Ed"
12055: EDMI,"Lang/Lit Acq in Sec Education"
12056: EDMI,"Latinos in U.S. Schools"
12057: EDMI,"Linguistics TESOL/Bilingual"
12058: EDMI,"Linguistics:TESOL/Bilingual Te"
12059: EDMI,"Lit For Middle & HS Students"
12060: EDMI,"Masters Comprehensive"
12061: EDMI,"Math12062: EDMI,"Mentoring-Secndr Edu"
12063: EDMI,"Methods Adlscnt Classroom Mgmt"
12064: EDMI,"Methods Ed. Research"
12065: EDMI,"Methods-Teach Forgn Lang"
12066: EDMI,"Mid&High Sch Intrnsp"
12067: EDMI,"Mthds Tchng Bus & Tech Edu"
12068: EDMI,"Mthds-Tch Eng-Topics"
12069: EDMI,"Multicultural Ethnic Perspect"
12070: EDMI,"Multiethnc&Cultrl Ed"
12071: EDMI,"Museum as Resource-Tchng Sci"
12072: EDMI,"NonviolentResolution-Conflict"
12073: EDMI,"Perspectives on Middle Schl Ed"
12074: EDMI,"Philosophy of Education"
12075: EDMI,"Prejudce&Stereotypng"
12076: EDMI,"Prin Prj Dsgn & Asemt Comp Sci"
12077: EDMI,"Principles Computer Sci Educ I"
12078: EDMI,"Principles of Comp Sci Educ II"
12079: EDMI,"Probs of Sec Ed in Metro Areas"
12080: EDMI,"Proj.Sem.Spec.Areas"
12081: EDMI,"Project Seminar I"
12082: EDMI,"Project Seminar II"
12083: EDMI,"Psy Fndtn-Mid&Hgh Sc"
12084: EDMI,"Psy Found Adult Educ"
12085: EDMI,"Psy Foundations Educ"
12086: EDMI,"Psych in Edu: Group Dynamics"
12087: EDMI,"Puerto Rican Studies"
12088: EDMI,"Rdng & Rdng Mat for Adolescent"
12089: EDMI,"Recreation Studies"
12090: EDMI,"Res Prac Res Just: Inq Bsd Rch"
12091: EDMI,"Research In Math Edu"
12092: EDMI,"Rest Prac & Res Just Mid HS Ed"
12093: EDMI,"Rest Prac/Just:Prof Developmnt"
12094: EDMI,"Restorative Practice & Justice"
12095: EDMI,"Restorative Practices &Justice"
12096: EDMI,"School and Community"
12097: EDMI,"Seminar Sec & TESOL Stud Tchng"
12098: EDMI,"Sex Rols&Attid-2ndry"
12099: EDMI,"Social Found. Of Ed."
12100: EDMI,"Span-Speak Amer in Urban Schl"
12101: EDMI,"Special Methods in Art"
12102: EDMI,"Special Needs Edu TESOL&SecSet"
12103: EDMI,"Special Needs Education"
12104: EDMI,"Speech"
12105: EDMI,"Staff Dev Wrksp-Tchr"
12106: EDMI,"Stu Teach Middle & HS Grades"
12107: EDMI,"Stud Tchng Middle & HS Grades"
12108: EDMI,"Student Teaching Sem in TESOL"
12109: EDMI,"Student Teaching Seminar"
12110: EDMI,"Student Teaching Seminar TESOL"
12111: EDMI,"Systematic Desgn Instruct Bus"
12112: EDMI,"Tch Crrctv Rdg-2ndry"
12113: EDMI,"Tch Devl Rdg-2ndary"
12114: EDMI,"Tch Engl As New Lang"
12115: EDMI,"Tch Forgn Lan 2nd Sc"
12116: EDMI,"Tch Frgn Lng-Mid&Hgh"
12117: EDMI,"Tch Mat-Mid &High Sc"
12118: EDMI,"Tch Prob Sol Math in Middle&HS"
12119: EDMI,"Tch Rdg-Content Area"
12120: EDMI,"Tch Tech Sub in Mid & High Sch"
12121: EDMI,"Tch Us Hist/Govermnt"
12122: EDMI,"Tch World History-Middle & HS"
12123: EDMI,"Tch. Art Mid & H.S."
12124: EDMI,"Tch.Lng.Arts/No Eng."
12125: EDMI,"Tchg Eng As 2nd Lang"
12126: EDMI,"Tchg US Hist & Govt in MS & HS"
12127: EDMI,"Tchg Writing-2ndary"
12128: EDMI,"Tchg Wrtng-2ndarysch"
12129: EDMI,"Tchng Commun Skills"
12130: EDMI,"Tchng Eng 2ndry Schl"
12131: EDMI,"Tchng Hlth Ed-2ndary"
12132: EDMI,"Tchng Intenshp Smnr in Sec Edu"
12133: EDMI,"Tchng Mus-2ndry Schl"
12134: EDMI,"Tchng Prbm Solv Math Mid & HS"
12135: EDMI,"Tchng Rdng-Adols Lit"
12136: EDMI,"Tchng Sci in Mid & HS"
12137: EDMI,"Tchng Sci in Middle & HS"
12138: EDMI,"TchngScndryBgl LangArts&ConLit"
12139: EDMI,"Teach Bus Subj in Mid & HS"
12140: EDMI,"Teach Engl Mid & High Sch"
12141: EDMI,"Teach Historical Dev of Sci"
12142: EDMI,"Teach Mus Middle Sch"
12143: EDMI,"Teach Wrld His Mi-Hs"
12144: EDMI,"Teaching Eng Sec Lang PreK-Gr6"
12145: EDMI,"Teaching English Grammar"
12146: EDMI,"Teaching Environmental Science"
12147: EDMI,"Teaching Internship Sem TESOL"
12148: EDMI,"Teaching Internship in TESOL"
12149: EDMI,"Teaching Math Middle & HS"
12150: EDMI,"Teaching Math in Grades 11&12"
12151: EDMI,"Teaching Math in Grades 7-10"
12152: EDMI,"Thry & Pract Soc Sci"
12153: EDMI,"Topics:Methods in Teaching Sci"
12154: EDMI,"Transformative Justice"
12155: EDMI,"Wkp-Stud Pr&Lat Orgn"
12156: EDMI,"Wksp Mdrn Mat & Mthd F Lang II"
12157: EDMI,"Wksp Meth&Mat-Lang 1"
12158: EDMI,"Wksp-Currc Mtrls Dev"
12159: EDRE,"Ass Lit Dev Adol"
12160: EDRE,"Ass Lit Dev Chldhd"
12161: EDRE,"Ass&Eval Lang&Lit DevAcrLifesp"
12162: EDRE,"DevelopingLiteracy through Lit"
12163: EDRE,"Devlpmnt & Eval Rdng Materials"
12164: EDRE,"Honor Seminar Read"
12165: EDRE,"Independent Stdy-Rdg"
12166: EDRE,"Independent Study in Reading"
12167: EDRE,"Ins Appr-Lang&Lit DevAcrLifesp"
12168: EDRE,"Ins Lit Dev Chldhd"
12169: EDRE,"Investigation in Reading I"
12170: EDRE,"Investigation in Reading II"
12171: EDRE,"Lang&Lit Acq&Dev Acrs Lifespan"
12172: EDRE,"Lang.Litcy.Educ.Tech"
12173: EDRE,"Lang/Lit Development: Child Ed"
12174: EDRE,"Lit Acq Dev Child"
12175: EDRE,"Lit Acqu & Dev Pre-Adol & Adol"
12176: EDRE,"Lit Dev in Nontraditional Sett"
12177: EDRE,"Lit-Bsd Prog Nontra"
12178: EDRE,"Literacy Research 1"
12179: EDRE,"Literacy in the Content Areas"
12180: EDRE,"Litercy Theory &Prog"
12181: EDRE,"Prac Lang & Lit Dev Erly Child"
12182: EDRE,"Prac Lit Dev Adol"
12183: EDRE,"Prac Lit Dev Nomtra"
12184: EDRE,"Prof.Writ.-Educators"
12185: EDRE,"Rsch Literacy I"
12186: EDRE,"Rsch Literacy II"
12187: EDRE,"Second Language Literacy"
12188: EDRE,"Special Topics in Reading"
12189: EDRE,"Teaching Comp Strategies"
12190: EDRE,"Teaching Comprehensive Strateg"
12191: EDRE,"Teaching Lang Arts Adv Course"
12192: EDSP,"Adoles W/Dev Learn Problems"
12193: EDSP,"Adolescent with Disabilities"
12194: EDSP,"Advanced Psych-Ed Assessment"
12195: EDSP,"Assess Spc Lrn Dis"
12196: EDSP,"Assessment G/T K-12"
12197: EDSP,"Aud Vis Instruct Clsrm Tchr"
12198: EDSP,"Behave Assmnt12199: EDSP,"Behavior of Diverse Children"
12200: EDSP,"Behv Apprch-Chld Emo"
12201: EDSP,"Bio-Med Of Handicapp"
12202: EDSP,"Bst Prac Tchng Cult & Ling Div"
12203: EDSP,"Chd Stud W/Disab"
12204: EDSP,"Child With Spec Need"
12205: EDSP,"Comp Analysis Eng/Spa 1"
12206: EDSP,"Compar Analysis Eng/Span I&II"
12207: EDSP,"Culminating Master’s Project"
12208: EDSP,"Cur Plang-Lrng Disab"
12209: EDSP,"Curr & Instruct for Div Child"
12210: EDSP,"Curr & Mthdlogy Mentally Retrd"
12211: EDSP,"Curr Instr Adol W/Disabil"
12212: EDSP,"Curr Instr Pract Child W/Dis"
12213: EDSP,"Curr Instr Yng Spnds"
12214: EDSP,"Curric & Meths Spec Education"
12215: EDSP,"Dia Std-Pre-Sch Chld"
12216: EDSP,"Diagnosis Lrn Disord"
12217: EDSP,"Diagnstc Stdy-Infnts"
12218: EDSP,"Dynam Wkng With Grps"
12219: EDSP,"Education and Mass Media"
12220: EDSP,"Education of the Gifted"
12221: EDSP,"Emotionlly Handicppd"
12222: EDSP,"Family Development"
12223: EDSP,"Fldwk-Spec Ed Ser 2"
12224: EDSP,"Fldwk-Spec Edu Ser 1"
12225: EDSP,"Func Lit Skls-Mn Rtd"
12226: EDSP,"Fund Clssrm Grp Dynm"
12227: EDSP,"G&Tk-1212228: EDSP,"Handc Indv-Voc Envir"
12229: EDSP,"Honors Course-Resrch"
12230: EDSP,"Indep Stdy in Spec Edu"
12231: EDSP,"Independent Study 1"
12232: EDSP,"Independent Study 2"
12233: EDSP,"Inst Prct Adol Stud Mod/SevDis"
12234: EDSP,"Intro Special Educat"
12235: EDSP,"Intrsens Dev Thr Mov"
12236: EDSP,"Lrning Disorders: Develop View"
12237: EDSP,"Mental Hygiene"
12238: EDSP,"Microcomput Spec Edu"
12239: EDSP,"Mntaly Rtrd&Mult-Hnd"
12240: EDSP,"Nat Nds Gift/Tal Std"
12241: EDSP,"Nature&Needs-Handicp"
12242: EDSP,"Pgrm Plning Special Edu"
12243: EDSP,"Plnng Curc-Emot Hndc"
12244: EDSP,"Prac Assmt Ad W/Dis"
12245: EDSP,"Prac Assmt Ch Dis"
12246: EDSP,"Prac Beh Mgmt Ad Dis"
12247: EDSP,"Prac Cur Inst Adol w/Disab."
12248: EDSP,"Prac Cur Inst Ch Dis"
12249: EDSP,"Prac Teach Severe Disabilities"
12250: EDSP,"Prac-Assess Lrng Dis"
12251: EDSP,"Prac-Remed Lrn Disab"
12252: EDSP,"Pracm-Tch Emot Hndcp"
12253: EDSP,"Pracm-Tch Retarded"
12254: EDSP,"Pract Infant &Todlr-Spc Needs"
12255: EDSP,"Pract in Asses Child Spc Needs"
12256: EDSP,"Pract-Rem of Spec Disabilities"
12257: EDSP,"Practicum in Behavioral Assess"
12258: EDSP,"PrctmInstPrcAdolStudMod/SevDis"
12259: EDSP,"Pre-Sch Chd-Spc Need"
12260: EDSP,"Prin&Prac Ed Guidanc"
12261: EDSP,"Project Seminar I"
12262: EDSP,"Project Seminar II"
12263: EDSP,"Psycho-edu Eva Chlrn Lrn Prblm"
12264: EDSP,"Read/Write Connect."
12265: EDSP,"Reading & Writing Connections"
12266: EDSP,"Research in Special Education"
12267: EDSP,"Seminar-Current Issu"
12268: EDSP,"Specl Child-Adaptatn"
12269: EDSP,"Stdt Teach of Diverse Learners"
12270: EDSP,"Stdy Early Specl Edu"
12271: EDSP,"Stdy Learng Disabled"
12272: EDSP,"Student Teaching Seminar"
12273: EDSP,"Super Stud Teach Speech&Hear"
12274: EDSP,"Tch Sev Dis Lifespan"
12275: EDSP,"Teach Emotionly Hand"
12276: EDSP,"Teach Indiv w Multip Handicaps"
12277: EDSP,"Teach Stu W/Severe Disabilit"
12278: EDSP,"Tech Resrch-Tch&Lrng"
12279: EDSP,"The Mass Media in Education"
12280: EDSP,"The Slow Learner"
12281: EDSP,"Trnsdiscp Appr & Prsn Handicap"
12282: EDSP,"Undst Indiv W/ Disab"
12283: EDSP,"Vis Art Children w/ Learn Dis"
12284: EDSP,"Voca Guid 2ndry&Elem"
12285: EDSP,"Wkshp Instruct Mater & Equpmnt"
12286: EDSP,"Workshop-Curr Materials Devel"
12287: EDSP,"Workshops in Curriculum Design"
12288: EDSP,"Writ/Read Contnt Are"
12289: EDUC,"Literatura Del Carib"
12290: ENGL,"17c Lit-Exclud Miltn"
12291: ENGL,"Advanced Fiction Writing I"
12292: ENGL,"Advanced Fiction Writing II"
12293: ENGL,"Advanced Playwriting Workshop"
12294: ENGL,"Advanced Poetry Writing I"
12295: ENGL,"Advanced Workshop Writing II"
12296: ENGL,"African Amer & Black Diasp Lit"
12297: ENGL,"Afro-Latinx Literatures"
12298: ENGL,"American Literature"
12299: ENGL,"American Minority Literature"
12300: ENGL,"Arab-American Literature"
12301: ENGL,"Arts Criticism:Writing Pop Cul"
12302: ENGL,"Asian & Asian-American Lit"
12303: ENGL,"Biography Writing"
12304: ENGL,"British Literature from 1800"
12305: ENGL,"Business Writing"
12306: ENGL,"Caribbean Diasporic Literature"
12307: ENGL,"Chaucer"
12308: ENGL,"Classics and Us"
12309: ENGL,"Cntemp Literary Thry"
12310: ENGL,"Collaboration&Writing Process"
12311: ENGL,"College Writing Exam"
12312: ENGL,"Contemp Urban Writrs"
12313: ENGL,"Contemporary Urban Writers"
12314: ENGL,"Creative Writing I"
12315: ENGL,"Creative Writing II"
12316: ENGL,"Crit Approaches to Child Lit"
12317: ENGL,"Critical Apprchs Adol Lit"
12318: ENGL,"Critical Race Theory"
12319: ENGL,"Design for Writers"
12320: ENGL,"Diverse Voices in American Lit"
12321: ENGL,"Drama"
12322: ENGL,"Early American Literature"
12323: ENGL,"Early Modern English Lit"
12324: ENGL,"Early Women Writers"
12325: ENGL,"Eastern Traditions"
12326: ENGL,"Editing Essentials"
12327: ENGL,"Editing and Proofreading"
12328: ENGL,"Editing for Style and Flow"
12329: ENGL,"Eighteenth-Century British Lit"
12330: ENGL,"Elizabethn&17c Liter"
12331: ENGL,"English Composition I"
12332: ENGL,"English Composition II"
12333: ENGL,"English Literature"
12334: ENGL,"English Literature III"
12335: ENGL,"English Literature to 1800"
12336: ENGL,"Entrepreneurship for Writers"
12337: ENGL,"Epochal Authors"
12338: ENGL,"Evidence-Based Writing"
12339: ENGL,"Feature Writing"
12340: ENGL,"Fiction"
12341: ENGL,"Fiction Workshop"
12342: ENGL,"Fictions of Disability"
12343: ENGL,"Film Studies"
12344: ENGL,"Forms and Technique in Fiction"
12345: ENGL,"Forms and Techniques in Poetry"
12346: ENGL,"GRE Theory and Practice"
12347: ENGL,"Global Literatures"
12348: ENGL,"Grant and Proposal Writing"
12349: ENGL,"Grea Trad-Chau-Miltn"
12350: ENGL,"Health and Science Writing"
12351: ENGL,"History English Language"
12352: ENGL,"History of English Language"
12353: ENGL,"Honor Seminar--Spec Topics"
12354: ENGL,"Honors Colloquium"
12355: ENGL,"Honors English Composition I"
12356: ENGL,"Honors English Composition II"
12357: ENGL,"Honors Tutorial in Literature"
12358: ENGL,"Honors Tutorial in Writing"
12359: ENGL,"Human Rights Literature"
12360: ENGL,"Ideas In Literature"
12361: ENGL,"Independent Study"
12362: ENGL,"Indigenous Literature"
12363: ENGL,"Individual Tutorial in Lit"
12364: ENGL,"Individual Tutorial in Writing"
12365: ENGL,"Instruction in Peer Tutoring"
12366: ENGL,"Intro to Creative Writing"
12367: ENGL,"Intro:Literary&Cultural Theory"
12368: ENGL,"Introduction of Prof Writing"
12369: ENGL,"Introduction to English Studie"
12370: ENGL,"Irish Literature"
12371: ENGL,"LGBTQ+ Literature"
12372: ENGL,"Latinx Literature"
12373: ENGL,"Literacy and Community"
12374: ENGL,"Literary Bronx"
12375: ENGL,"Literary Craft - Prof. Writers"
12376: ENGL,"Literary Criticism"
12377: ENGL,"Literary Genres"
12378: ENGL,"Literature and Medicine"
12379: ENGL,"Literature12380: ENGL,"Literatures of Immigration"
12381: ENGL,"Marketing and PR Writing"
12382: ENGL,"Master Class in Poetry"
12383: ENGL,"Master Comprehensve"
12384: ENGL,"Master’s Research"
12385: ENGL,"Mediev Lang & Liter"
12386: ENGL,"Medieval Literature"
12387: ENGL,"Memoir Writing"
12388: ENGL,"Milton"
12389: ENGL,"Modern British&Anglophone Lit"
12390: ENGL,"Modernism"
12391: ENGL,"Nineteenth-Century British Lit"
12392: ENGL,"Old Eng&Medivl Liter"
12393: ENGL,"Poetry"
12394: ENGL,"Poetry Workshop"
12395: ENGL,"Popular Fiction"
12396: ENGL,"Prctm-Tchg Col Wrtng"
12397: ENGL,"Prin Effectv Wrtng 2"
12398: ENGL,"Prin Effectv Wrtng I"
12399: ENGL,"Principles of Creative Writing"
12400: ENGL,"Principles-ProfessionalWriting"
12401: ENGL,"Professional Presentations"
12402: ENGL,"Prose Fiction"
12403: ENGL,"Publishing Landscape"
12404: ENGL,"Readings-Composition&Rhetoric"
12405: ENGL,"Report Writing"
12406: ENGL,"Res-Composition Stds"
12407: ENGL,"Research and Revision Tutorial"
12408: ENGL,"Research12409: ENGL,"Restor & 18 Cent Lit"
12410: ENGL,"Restoratn&18th C Lit"
12411: ENGL,"Romantic Victorn Lit"
12412: ENGL,"Sem in Writing:Practice&Theory"
12413: ENGL,"Seminar Professional Writing"
12414: ENGL,"Seminar in Creative Writing"
12415: ENGL,"Seminar in Literature"
12416: ENGL,"Seminar in Writing Studies"
12417: ENGL,"Seminar in Writing: Practice"
12418: ENGL,"Seminar in Writing: Theory"
12419: ENGL,"Senior Seminar"
12420: ENGL,"Seventeenth-Century Literature"
12421: ENGL,"Shakespeare"
12422: ENGL,"Shakespeare Now"
12423: ENGL,"Shakespeare in Context"
12424: ENGL,"Shakespeare-Selected Plays"
12425: ENGL,"Sixteenth-Century Literature"
12426: ENGL,"Sp Stds Lan Lit&Writ"
12427: ENGL,"Spcl Topics:Writing & Rhetoric"
12428: ENGL,"Spec Topics Lit & Film Studies"
12429: ENGL,"Spec Tops-Composition Rhetoric"
12430: ENGL,"Special Topics in Lit II"
12431: ENGL,"Special Topics in Literature"
12432: ENGL,"Special Topics in Literature I"
12433: ENGL,"Special Topics- Lit & Lang"
12434: ENGL,"Stds Mediev Engl Lang & Lit"
12435: ENGL,"Stds Postcolonial Lit & Theory"
12436: ENGL,"Stds in 18th C English Lit"
12437: ENGL,"Storytelling for Prof Writers"
12438: ENGL,"Structure Modern Eng"
12439: ENGL,"Structure of Modern English"
12440: ENGL,"Stud 17th Century English Lit"
12441: ENGL,"Studies  20th Century Eng Lit"
12442: ENGL,"Studies 19th Century Amer Lit"
12443: ENGL,"Studies American Lit to 1800"
12444: ENGL,"Studies Comtemporary English"
12445: ENGL,"Studies In Modernism"
12446: ENGL,"Studies Multicultural Amer Lit"
12447: ENGL,"Studies Old English Lang&Lit"
12448: ENGL,"Studies in  Race & Literature"
12449: ENGL,"Studies in American Literature"
12450: ENGL,"Studies in Chaucer"
12451: ENGL,"Studies in Drama"
12452: ENGL,"Studies in Fiction"
12453: ENGL,"Studies in Gender & Sexuality"
12454: ENGL,"Studies in Linguistics"
12455: ENGL,"Studies in Literature and Film"
12456: ENGL,"Studies in Poetry"
12457: ENGL,"Studies in Romanticism"
12458: ENGL,"Studies in Shakespeare"
12459: ENGL,"Studies in the Novel"
12460: ENGL,"Studies in the Renaissance"
12461: ENGL,"Studies-Contempr Lit"
12462: ENGL,"Studies19th Century Eng Lit"
12463: ENGL,"Technical Writing"
12464: ENGL,"Technology of the Book"
12465: ENGL,"The Bible as Literature"
12466: ENGL,"The Black Radical Tradition"
12467: ENGL,"The Contemporary Essay"
12468: ENGL,"The Experience of Literature"
12469: ENGL,"The Romantic Era"
12470: ENGL,"Theoreticl Approaches Lit&Cult"
12471: ENGL,"Thesis Research"
12472: ENGL,"Topics in Creative Writing"
12473: ENGL,"Topics in Gender and Sexuality"
12474: ENGL,"Topics in Global Literatures"
12475: ENGL,"Topics in Latinx Literature"
12476: ENGL,"Topics in Popular Fiction"
12477: ENGL,"Topics in Professional Writing"
12478: ENGL,"Topics in the Novel"
12479: ENGL,"Tpcs:Afrcn Amer&Blck Diasp Lit"
12480: ENGL,"Twentieth-Century American Lit"
12481: ENGL,"Unsettling English Studies"
12482: ENGL,"Urban Literature"
12483: ENGL,"Western Traditions--Drama"
12484: ENGL,"Western Traditions--Narrative"
12485: ENGL,"Women In Literature"
12486: ENGL,"Women Writers in English"
12487: ENGL,"Women in Literature"
12488: ENGL,"Workshop in CreativeNonfiction"
12489: ENGL,"Workshop in Fiction"
12490: ENGL,"Workshop in Playwriting"
12491: ENGL,"Workshop in Poetry"
12492: ENGL,"Workshop in Screenwriting"
12493: ENGL,"Writing &Rhetoric Digital Age"
12494: ENGL,"Writing Essentials"
12495: ENGL,"Writing and Learning"
12496: ENGL,"Writing and Social Issues"
12497: ENGL,"Writing for New Media"
12498: ENGL,"Writing for the Professions"
12499: ENGL,"Writing-Prest Awards/Grad Schl"
12500: ENGL,"introduction Critical Theory"
12501: ENSL,"Eng As 2nd Lang-Int."
12502: ENSL,"Eng As 2nd Lang.-Adv"
12503: EVSC,"Conservation of Environment"
12504: EVSC,"Environmental Impact Assessmen"
12505: EVSC,"Environmental Policy"
12506: EVSC,"Environmental Pollution"
12507: EVSC,"Into to Environmental Sci Lab"
12508: EVSC,"Intro to Digital Data Env Sci"
12509: EVSC,"Introd to Environmental Scienc"
12510: EVSC,"Nat Rsrce Mgmt: Sr Semi"
12511: EVSC,"Reg Topics/Field Methd Env Sci"
12512: EXSC,"Adv Exrcs Testing & Prscrptn"
12513: EXSC,"Adv Kinesiology & Biomechanics"
12514: EXSC,"Adv Motor Lrning & Performance"
12515: EXSC,"Adv Rsrch Mthds in Exrcs Sc"
12516: EXSC,"AdvTrng Mth-Strngth&Hypertrphy"
12517: EXSC,"Advanced Exercise Physiology"
12518: EXSC,"Advanced Sports Nutrition"
12519: EXSC,"Application of Training Princi"
12520: EXSC,"Applied Training Methodologies"
12521: EXSC,"Beh.Aspects Phy.Acty"
12522: EXSC,"Capstone Project Workshop"
12523: EXSC,"Coaching Sports"
12524: EXSC,"Exer/Spec.Population"
12525: EXSC,"Exercise Physiology"
12526: EXSC,"Exercise Physiology II"
12527: EXSC,"Exercise Testing &Prescription"
12528: EXSC,"Fitness Management & Marketing"
12529: EXSC,"Fitness and Exercise for Life"
12530: EXSC,"Honors in Exercise Science"
12531: EXSC,"Independent Study Project"
12532: EXSC,"Intrnshp Exercise Sci I"
12533: EXSC,"Intrnshp-Exer. Sci.II"
12534: EXSC,"Introd to Exercise Science"
12535: EXSC,"Kinesiology and Biomechanics"
12536: EXSC,"Motor Learning"
12537: EXSC,"Phys Activity12538: EXSC,"Princ/Prac Ftnss & Welln Prog"
12539: EXSC,"Psychology of Sport"
12540: EXSC,"Res.Mthds & Stat in Exer. Sci"
12541: EXSC,"Rsrch Practcm Appd ExerciseSci"
12542: EXSC,"Spec. Proj-Exer.Sci."
12543: EXSC,"Sports Nutrition"
12544: EXSC,"Theory/Methods Stregth/Condit"
12545: EXSC,"Thesis Workshop 1"
12546: EXSC,"Thesis Workshop 2"
12547: EXSC,"Topics Exercise Sci"
12548: FILM,"Acting for the Camera."
12549: FILM,"Advanced Screenwriting"
12550: FILM,"Animation and Anime Narrative"
12551: FILM,"Audio Production"
12552: FILM,"Camera and Lighting"
12553: FILM,"Cinema Aesthetics & Criticism"
12554: FILM,"Editing"
12555: FILM,"Film & TV Analysis"
12556: FILM,"Film Directing"
12557: FILM,"Film and Video Production"
12558: FILM,"History of Cinema I"
12559: FILM,"History of Cinema II"
12560: FILM,"Hnrs Colloq in  Film & TV Stud"
12561: FILM,"Honors Tut in Film& TV Studies"
12562: FILM,"Ind Project in Film & TV Stud"
12563: FILM,"Introduction to Film & TV"
12564: FILM,"Narrative Film"
12565: FILM,"Screenwriting"
12566: FILM,"TV and Cultivation Theory"
12567: FILM,"Television Production"
12568: FILM,"Topics in Film"
12569: FILM,"Voice-Over Radio12570: FILM,"Writing for Broadcast TV&Radio"
12571: FILM,"Writing for Fictional TV"
12572: FREN,"17c Fre Lit 1-Theatr"
12573: FREN,"17th Century French Lit II"
12574: FREN,"19 Century French Literature"
12575: FREN,"20c Lit1-Proust&Litr"
12576: FREN,"20th & 21stCt FreLit2:PW to CL"
12577: FREN,"Advanced Composition"
12578: FREN,"Advanced French Conversation"
12579: FREN,"Advanced French Grammar"
12580: FREN,"Advanced Seminar"
12581: FREN,"Advanced Translation"
12582: FREN,"Business French"
12583: FREN,"Cinema for French Conversation"
12584: FREN,"Comparative Grammar"
12585: FREN,"Elementary French I"
12586: FREN,"Elementary French II"
12587: FREN,"Elementary French III"
12588: FREN,"Elmntry Fren-Intensv"
12589: FREN,"Francophone Caribbean:Lit&Cult"
12590: FREN,"Francophone Cultures"
12591: FREN,"Francophone Literature"
12592: FREN,"Francophone Sub-Saharan Africa"
12593: FREN,"Francophone World"
12594: FREN,"Fre Civilztn & Cultr"
12595: FREN,"Fre Litr-Middle Ages"
12596: FREN,"Fren Lit from Middle Ages-17 C"
12597: FREN,"Fren Litr-16 Century"
12598: FREN,"French Dialectology&Sociolingu"
12599: FREN,"French Lit XVIII Cent-Present"
12600: FREN,"French for Reading Knowledge"
12601: FREN,"Frnch Authrs In Engl"
12602: FREN,"Frnch Lit In Trnslat"
12603: FREN,"Haiti: Literature and Culture"
12604: FREN,"Honors Course in French"
12605: FREN,"Ind Adv  Foreign Language Stud"
12606: FREN,"Indian Ocean Lit and Cultures"
12607: FREN,"Intermed Foreign Lang Study"
12608: FREN,"Intermed French Read & Comp"
12609: FREN,"Intermediate French Grammar"
12610: FREN,"Internship"
12611: FREN,"Intrm Stdys Fren Lit"
12612: FREN,"Intrmd Frenc Convers"
12613: FREN,"Intro Frnch Lit & Liter Critic"
12614: FREN,"Introduction to French Cinema"
12615: FREN,"Maghreb & Mashreq:Lit&Cultures"
12616: FREN,"Mdrn French&FrancophoneTheater"
12617: FREN,"Modern France"
12618: FREN,"Modern French Poetry"
12619: FREN,"Quebec: Literature and Culture"
12620: FREN,"Spec Topics in French Lang"
12621: FREN,"Special Tops-Fre Lit"
12622: FREN,"Thry&Practice French Phonetics"
12623: FREN,"Topcs&Theme-Fren Lit"
12624: FREN,"Topics: Mod Fren Lit"
12625: FREN,"Tutorial"
12626: FREN,"XIX Cent Fren Lit-Poet & Drama"
12627: FREN,"XVIII Cent Frnch Lit: Age Enli"
12628: FROR,"Freshman Colloquium"
12629: FROR,"Freshman Seminar"
12630: FROR,"Intergrtd Lan Skills"
12631: GEOG,"Advanced Urban Geography"
12632: GEOG,"An Introduction to Geography"
12633: GEOG,"Conservation of Environment"
12634: GEOG,"Consrv Natr Resource"
12635: GEOG,"Economic Geography"
12636: GEOG,"Field Geography"
12637: GEOG,"Field Geography NYC & Vicinty"
12638: GEOG,"Geo East Europe & Former USSR"
12639: GEOG,"Geogr Interpr World Affairs"
12640: GEOG,"Geography Latin Amer"
12641: GEOG,"Geography Us&Canada"
12642: GEOG,"Geography of Bus & Marketing"
12643: GEOG,"Geography of Development"
12644: GEOG,"Geography of New York State"
12645: GEOG,"Geography of US & Canada"
12646: GEOG,"Geography of Western Europe"
12647: GEOG,"Geography-Westrn Eur"
12648: GEOG,"Geograpy of the NY Metro Area"
12649: GEOG,"Historical Geography"
12650: GEOG,"History of Geographic Thought"
12651: GEOG,"Honors in Geography"
12652: GEOG,"Human Geography"
12653: GEOG,"Intro Quantitative Methods Geo"
12654: GEOG,"Intro To Geography"
12655: GEOG,"ME: Regional Geo Perspective"
12656: GEOG,"Medical Geography"
12657: GEOG,"Political Geography"
12658: GEOG,"Population Geography"
12659: GEOG,"Principles of Geography"
12660: GEOG,"Problems in Human Ecology"
12661: GEOG,"Reg Geo East Eur & USSR"
12662: GEOG,"Regional Geography of Africa"
12663: GEOG,"Regional Geography of Asia"
12664: GEOG,"The Geography of Asia"
12665: GEOG,"The Geography of Latin America"
12666: GEOG,"The NY Metropol Region"
12667: GEOG,"Urban Geography"
12668: GEOG,"World Regional Geography"
12669: GEOL,"Advanced Oceanography"
12670: GEOL,"Advanced Sedimentology"
12671: GEOL,"Data Acquisition&Integrat Mtds"
12672: GEOL,"Dynamic Earth"
12673: GEOL,"Dynamic Earth Laboratory"
