65077: ACCT,"Accounting 100-Level Elective"
66457: EDUC,"Hist Persp Mth Tpcs"
66458: EDUC,"Hist Themes & Interp"
66459: EDUC,"Hist of Fads/Frills in Schools"
66460: EDUC,"Hist/Phil Foundatn"
66461: EDUC,"History Urban Educat In U.S"
66462: EDUC,"Inst Media and Educ Tech"
66463: EDUC,"Intro to Comp Thinking for Tch"
66464: EDUC,"Mang Lrng Settings"
66465: EDUC,"Microsoc Of Classrm"
66466: EDUC,"Multiethnic Approaches Teach"
66467: EDUC,"New Media of Instruction"
66468: EDUC,"Persp Mang Stdt Behv"
66469: EDUC,"Philosophy and Children"
66470: EDUC,"Psych-Adolescence"
66471: EDUC,"Psych-Childhood"
66472: EDUC,"S I Schools Semnar"
66473: EDUC,"School and Community Rel"
66474: EDUC,"School and Society"
66475: EDUC,"Social Impact Of Technology"
66476: EDUC,"Sociocultural Development"
66477: EDUC,"Sociology of Schools"
66478: EDUC,"Socl Fndtns Intr Sem"
66479: EDUC,"Teach Mid Sch Scienc"
66480: EDUC,"Teacher Self-Understanding"
66481: EDUC,"Teacher/Curriculum"
66482: EDUC,"Teaching In America"
66483: EDUC,"Tech Mid Sch Math"
66484: EDUC,"The Good Teacher"
66485: EDUC,"The Idea of the Contemp Univ"
66486: EDUC,"Topics- Moral Development & Ed"
66487: EDUC,"Urban Education"
66488: EGEL,".Master’s Adv Research Project"
66489: EGEL,"Advanced Digital Communication"
66490: EGEL,"Advanced Signal Processing"
66491: EGEL,"Data Modeling and Compression"
66492: EGEL,"Elec. Machines & Energy Syst."
66493: EGEL,"Elec. Power Transm. & Distr."
66494: EGEL,"Est.66495: EGEL,"Information Theory"
66496: EGEL,"Master’s Adv Res Proj"
66497: EGEL,"Master’s Topical Study Project"
66498: EGEL,"Networking Systems & Protocols"
66499: EGEL,"POWER ELEC & INSTRUMENTATION"
66500: EGEL,"Photonic Devices"
66501: EGEL,"Photonic Systems & Networks"
66502: EGEL,"Princ & Prac of Machine Vision"
66503: EGEL,"Princ & Pract Secure Ntwrkng"
66504: EGEL,"Prob Theory & Stoch Process"
66505: EGEL,"Semiconductor Devices"
66506: EGEL,"Smart Grid"
66507: EGET,"Automation/Robotics"
66508: EGET,"Basic Technical Skills"
66509: EGSC,"Advanced Engineering Design"
66510: EGSC,"Advanced Engineering Design I"
66511: EGSC,"Advanced Engineering Design II"
66512: EGSC,"Analog&Digtl Sys Des"
66513: EGSC,"App Env Science"
66514: EGSC,"Applied Elasticity"
66515: EGSC,"Applied Mechanics Laboratory"
66516: EGSC,"Apps66517: EGSC,"Basic Measurements Laboratory"
66518: EGSC,"Broadband&Sonet Ntwk"
66519: EGSC,"Computer Architecture"
66520: EGSC,"Computer-Aided Engineering"
66521: EGSC,"Control Systems"
66522: EGSC,"Design & Analysis of Elec Powe"
66523: EGSC,"Digital & Analog Comm Syst"
66524: EGSC,"Digital Electronics Laboratory"
66525: EGSC,"Digital Signal Processing"
66526: EGSC,"Dynamics"
66527: EGSC,"Elec Prop Materials"
66528: EGSC,"Elect & Elect Circuits"
66529: EGSC,"Elect Pwr Trans&Dist"
66530: EGSC,"Electrical & Elec Circuits II"
66531: EGSC,"Electrical Machines and Energy"
66532: EGSC,"Electromagntic Rad"
66533: EGSC,"Embedded Sys Analysis & Design"
66534: EGSC,"Energy Conversion"
66535: EGSC,"Engineer Economics"
66536: EGSC,"Engineering Grad Crd"
66537: EGSC,"Engineering Grad Credit"
66538: EGSC,"Engineering Graphics"
66539: EGSC,"Engineering Ind Stdy"
66540: EGSC,"Engineering Independent Study"
66541: EGSC,"Engineering Internsh"
66542: EGSC,"Engineering Internship"
66543: EGSC,"Engineering Mechanics"
66544: EGSC,"Envirnmntl Enginrg"
66545: EGSC,"Fluid Mechanics"
66546: EGSC,"Fund Wireless Comm"
66547: EGSC,"Heat Transfer"
66548: EGSC,"Imge&Video Processig"
66549: EGSC,"Int To Elec Tech Lab"
66550: EGSC,"Intdis Hon Rsrch Sem"
66551: EGSC,"Intelligent Networks"
66552: EGSC,"Intro Computer Engin"
66553: EGSC,"Intro Electronc Tech"
66554: EGSC,"Intro To Dgt Tec Lab"
66555: EGSC,"Introduction to Engineering"
66556: EGSC,"Introduction to Nanotechnology"
66557: EGSC,"Mech Properties of Materials"
66558: EGSC,"Mechanic Materials"
66559: EGSC,"Mechanics of Solids"
66560: EGSC,"Mgmt&Engin Info Sys"
66561: EGSC,"Microcontrollers"
66562: EGSC,"Network Systems Engineering"
66563: EGSC,"Power Electronics & Instrument"
66564: EGSC,"Power Plant Design"
66565: EGSC,"Properties of Materials"
66566: EGSC,"Quant Envirn Engnr"
66567: EGSC,"Signals and Noise"
66568: EGSC,"Solid State Device Fundament"
66569: EGSC,"Systems Analysis"
66570: EGSC,"Systems Laboratory"
66571: EGSC,"Telecommunications System Engi"
66572: EGSC,"Thermodynamics"
66573: EGSC,"Transport Processes"
66574: ELEC,"SEP Elective Credit"
66575: ELTE,"Ac Fund Lab"
66576: ELTE,"Adv Elctrnc Instrmts"
66577: ELTE,"Circuit Theory"
66578: ELTE,"Cntrl Sys&Servomech"
66579: ELTE,"Co-Op Educ Et I"
66580: ELTE,"Co-Op Educ Et II"
66581: ELTE,"Comm/Microwave Lab"
66582: ELTE,"Commercial Commctn"
66583: ELTE,"Computer Hardware Technology"
66584: ELTE,"Computer-aided Technology"
66585: ELTE,"Computr Sys Elctrncs"
66586: ELTE,"Comuncaton/Microwave"
66587: ELTE,"Dc Fund Theory"
66588: ELTE,"Digital Circuit Laboratory"
66589: ELTE,"Digital Theory"
66590: ELTE,"Elec Circ Analysis Lab"
66591: ELTE,"Elec Pwr Trans&Distr"
66592: ELTE,"Elec Tech Ind Stdy"
66593: ELTE,"Elect Tech 400-Level Elec"
66594: ELTE,"Elect Tech Internshp"
66595: ELTE,"Elect Tech Intrnshp"
66596: ELTE,"Electrcity Principls"
66597: ELTE,"Electric Circ Ii"
66598: ELTE,"Electric Circt Anal"
66599: ELTE,"Electric Circuit Laboratory I"
66600: ELTE,"Electric Design"
66601: ELTE,"Electric Machines"
66602: ELTE,"Electrical Circuit Analysis"
66603: ELTE,"Electrical Machines"
66604: ELTE,"Electrical Machines Laboratory"
66605: ELTE,"Electrical Technical Intern"
66606: ELTE,"Electrical Wiring Techniques"
66607: ELTE,"Electrnic Comm Ii"
66608: ELTE,"Electronic Devices I"
66609: ELTE,"Electronic Drafting"
66610: ELTE,"Electronics"
66611: ELTE,"Electronics Fund"
66612: ELTE,"Electronics II"
66613: ELTE,"Electronics II Laboratory"
66614: ELTE,"Electronics Laboratory"
66615: ELTE,"Fcc License Review"
66616: ELTE,"Ind Electricity"
66617: ELTE,"Ind Electricty Lab"
66618: ELTE,"Ind Electronics"
66619: ELTE,"Industrial Elctrnics"
66620: ELTE,"Intro Msrmt&Instrmtn"
66621: ELTE,"Intro To Circuits"
66622: ELTE,"Introduction to Electronics"
66623: ELTE,"Microprcesors Theory"
66624: ELTE,"Microprocessor Laboratory"
66625: ELTE,"Power Systems Analysis I"
66626: ELTE,"Power Systems Analysis II"
66627: ELTE,"Princ of Digital Circuitry"
66628: ELTE,"Telecommunications I"
66629: ELTE,"Telecommunications II"
66630: ELTE,"Telecommunications System Engi"
66631: ELTE,"Troubleshootng Lab"
66632: ENGL,"16th-Century English Lit"
66633: ENGL,"17th-Century Eng Literature"
66634: ENGL,"18th-Century Eng Literature"
66635: ENGL,"19th Cent Eng Lit"
66636: ENGL,"19th Cent English Fiction"
66637: ENGL,"19th Century American Fiction"
66638: ENGL,"20th Cent English Literature"
66639: ENGL,"20th Century American Poetry"
66640: ENGL,"20th-Century Brit & Irish Poet"
66641: ENGL,"Adv Engineer Des II"
66642: ENGL,"Advanced Reading"
66643: ENGL,"African American Literature"
66644: ENGL,"African Literature"
66645: ENGL,"Amer & Brit Literary Trad II"
66646: ENGL,"Amer Fic Since WW II"
66647: ENGL,"Amer Lit After 1900"
66648: ENGL,"Amer Lit Before 1900"
66649: ENGL,"Amer Poetry Through 19th Cent"
66650: ENGL,"American Drama"
66651: ENGL,"Anglophone Arab Literature"
66652: ENGL,"Arabic Liter in Translation"
66653: ENGL,"Asian Literatures Before 1900"
66654: ENGL,"Autobiographical Writing"
66655: ENGL,"Autobiography"
66656: ENGL,"Autobiography and Biography"
66657: ENGL,"Basic Reading"
66658: ENGL,"Brit & Amer Lit Traditions I"
66659: ENGL,"Brit & Amer Liter Trditn"
66660: ENGL,"British Literature since 1800"
66661: ENGL,"British Literature to 1800"
66662: ENGL,"Broadcast Journalism"
66663: ENGL,"CLIP Reading A Beginning"
66664: ENGL,"CLIP Reading B Intermediate 1"
66665: ENGL,"CLIP Reading B2 Intermediate 2"
66666: ENGL,"CLIP Reading C Advanced"
66667: ENGL,"CLIP Writing A Beginning"
66668: ENGL,"CLIP Writing B1 Intermediate 1"
66669: ENGL,"CLIP Writing B2 Intermediate 2"
66670: ENGL,"CLIP Writing C Advanced"
66671: ENGL,"CUNY Start English"
66672: ENGL,"CUNYStart Reading"
66673: ENGL,"CUNYStart Writing"
66674: ENGL,"Chaucer"
66675: ENGL,"Clas/Bibl Lit Bkgrds"
66676: ENGL,"Classic Europe Lit"
66677: ENGL,"College Writing"
66678: ENGL,"Coming of Age Narratives"
66679: ENGL,"Comm Skills I"
66680: ENGL,"Comp&Rhetorcl Models"
66681: ENGL,"Comp/Rhetoric Studes"
66682: ENGL,"Contemp Americ Usage"
66683: ENGL,"Contemporary Drama"
66684: ENGL,"Contemporary Literature"
66685: ENGL,"Contemporary Poetry"
66686: ENGL,"Copy Editing"
66687: ENGL,"Craft of Creative Nonfiction"
66688: ENGL,"Craft of Creative Writing"
66689: ENGL,"Craft of Fiction"
66690: ENGL,"Craft of Playwriting"
66691: ENGL,"Craft of Poetry"
66692: ENGL,"Creative Nonfiction Workshop"
66693: ENGL,"Creative Writing"
66694: ENGL,"Critical App to Children’s Lit"
66695: ENGL,"Cultural Variety"
66696: ENGL,"Developmental Reading"
66697: ENGL,"Developmental Writing I"
66698: ENGL,"Developmental Writing II"
66699: ENGL,"Disabilities in Lit & Culture"
66700: ENGL,"Discussion and Debate"
66701: ENGL,"ENH Graduate Credit"
66702: ENGL,"EPL English"
66703: ENGL,"EPL Reading"
66704: ENGL,"EPL Reading and Writing"
66705: ENGL,"EPL Reading/Writing"
66706: ENGL,"EPL Writing"
66707: ENGL,"ESL English"
66708: ENGL,"ESL Reading"
66709: ENGL,"ESL Reading and Writing"
66710: ENGL,"ESL Reading/Writing"
66711: ENGL,"ESL Writing"
66712: ENGL,"ESL Wrtg66713: ENGL,"Early Celtic Literature"
66714: ENGL,"Eng Grad Ind Study"
66715: ENGL,"Eng Grad Lit Cr"
66716: ENGL,"Eng Grad Lit Credit"
66717: ENGL,"English 200-Level Elective"
66718: ENGL,"English Credit"
66719: ENGL,"English Drama to 1800"
66720: ENGL,"English Grad Credit"
66721: ENGL,"English Graduate Credit"
66722: ENGL,"English Ind Study"
66723: ENGL,"English Independent Study"
66724: ENGL,"English Internship"
66725: ENGL,"English Internships"
66726: ENGL,"English Internshp"
66727: ENGL,"Enh Grad Credit"
66728: ENGL,"Epic and Romance"
66729: ENGL,"Eur Lit of the Romantic Period"
66730: ENGL,"Fiction Workshop"
66731: ENGL,"Gender- Negotiating Difference"
66732: ENGL,"Global Anglophone Literature"
66733: ENGL,"Global Literature II"
66734: ENGL,"History of Print Media"
66735: ENGL,"Imm  ESL Writing Low-Level"
66736: ENGL,"Imm ESL Reading Low-level"
66737: ENGL,"Immersion Reading Workshop"
66738: ENGL,"Integrated Reading and Writing"
66739: ENGL,"Intermediate Script Writing"
66740: ENGL,"Intro College Writng"
66741: ENGL,"Intro To Lit Studies"
66742: ENGL,"Intro to African Diaspora Lit"
66743: ENGL,"Intro to Popular Literature"
66744: ENGL,"Intro to the Stdy of Lit"
66745: ENGL,"Introduction to Drama"
66746: ENGL,"Introduction to Fiction"
66747: ENGL,"Introduction to Journalism"
66748: ENGL,"Introduction to Nonfiction"
66749: ENGL,"Introduction to Poetry"
66750: ENGL,"Introduction to Screen Writing"
66751: ENGL,"Introduction to Shakespeare"
66752: ENGL,"James Joyce"
66753: ENGL,"John Milton"
66754: ENGL,"Journal I"
66755: ENGL,"Journalism and Society"
66756: ENGL,"Lit & Humanities I"
66757: ENGL,"Lit Myth/Archetype"
66758: ENGL,"Lit of Ancient Greece and Rome"
66759: ENGL,"Lit. of the African Diaspora"
66760: ENGL,"Literature Credit"
66761: ENGL,"Literature and Global Cultures"
66762: ENGL,"Literature and Humanities"
66763: ENGL,"Literature and Music"
66764: ENGL,"Literature and Society"
66765: ENGL,"Literature of Eng Renaissance"
66766: ENGL,"Literature of Medieval England"
66767: ENGL,"Literature of Medieval Europe"
66768: ENGL,"Literature of Social Protest"
66769: ENGL,"Magazine Writing"
66770: ENGL,"Major 20th-Century Novelists"
66771: ENGL,"Major 20th-Century Poets"
66772: ENGL,"Major American Author I"
66773: ENGL,"Major American Author II"
66774: ENGL,"Major American Author III"
66775: ENGL,"Major English Author I"
66776: ENGL,"Major English Author II"
66777: ENGL,"Major English Author III"
66778: ENGL,"Major Woman Author I"
66779: ENGL,"Major Woman Author II"
66780: ENGL,"Major Woman Author III"
66781: ENGL,"Major World Author I"
66782: ENGL,"Major World Author II"
66783: ENGL,"Major World Author III"
66784: ENGL,"Medieval Eng Literature"
66785: ENGL,"Methods in Linguistic Research"
66786: ENGL,"Methods of Graduate Study"
66787: ENGL,"Migration& Diasporas"
66788: ENGL,"Mod Eng Fict - World War2"
66789: ENGL,"Mod World Classics"
66790: ENGL,"Modern East Asian Literature"
66791: ENGL,"Modern European Drama"
66792: ENGL,"Modern Irish Writers"
66793: ENGL,"Modern Russian Literature"
66794: ENGL,"Modern World Lit"
66795: ENGL,"Mythology Of Women"
66796: ENGL,"Newspaper Reporting"
66797: ENGL,"Non-Native English"
66798: ENGL,"Non-Native Reading"
66799: ENGL,"Non-Native Writing"
66800: ENGL,"Nonfiction Writing"
66801: ENGL,"Oral Intrprtaton of Lit"
66802: ENGL,"Playwrighting Workshop"
66803: ENGL,"Playwriting I"
66804: ENGL,"Poetry Workshop"
66805: ENGL,"Postcolonial Literature"
66806: ENGL,"Postmodern American Literature"
66807: ENGL,"Public Speaking"
66808: ENGL,"Queer Studies"
66809: ENGL,"Rdngs in Engl Romantic Lit"
66810: ENGL,"Reading for College"
66811: ENGL,"Renaissnce Eur Lit"
66812: ENGL,"Screen Writing"
66813: ENGL,"Senior Seminar in Literature"
66814: ENGL,"Shkspeare Tragdies"
66815: ENGL,"South Asian Literature"
66816: ENGL,"Std Resto & XVIII Cent Eng Lit"
66817: ENGL,"Stdy In Afr Am Lit"
66818: ENGL,"Stdy in Anglosaxon Literature"
66819: ENGL,"Stdy in US Multicult Lit"
66820: ENGL,"Stdy in XVIII Century Fiction"
66821: ENGL,"Studies In Drama"
66822: ENGL,"Studies In Fiction"
66823: ENGL,"Studies in Advanced Journalism"
66824: ENGL,"Studies in Literary Theory"
66825: ENGL,"Studies in Poetry"
66826: ENGL,"Studies in Science Fiction"
66827: ENGL,"Studies in Shakespeare"
66828: ENGL,"Studies in Women & Lit"
66829: ENGL,"Tech Writing/Reading"
66830: ENGL,"The African-Amer Lit Tradition"
66831: ENGL,"The American Renaissance"
66832: ENGL,"The Bible and Later Literature"
66833: ENGL,"The Comic Vision"
66834: ENGL,"The Early Shakespeare"
66835: ENGL,"The Later Shakespeare"
66836: ENGL,"The Modernists I"
66837: ENGL,"The Modernists II"
66838: ENGL,"The Teaching of Writing"
66839: ENGL,"The Tragic Vision"
66840: ENGL,"Themes in Literature"
66841: ENGL,"Theories Of Lit"
66842: ENGL,"Theories of Composition"
66843: ENGL,"Theories of Mass Media"
66844: ENGL,"Theory Of Drama"
66845: ENGL,"Thesis Tutorial"
66846: ENGL,"Trends In Literature And Film"
66847: ENGL,"U S Lit To 1855"
66848: ENGL,"U.S. Fiction"
66849: ENGL,"U.S. Lit In Comparative Contxt"
66850: ENGL,"U.S. Lit Since 1855"
66851: ENGL,"US Fiction from the Late Nine"
66852: ENGL,"US Fiction/ Early N. Amer Lit"
66853: ENGL,"Us.Lit:Multicult."
66854: ENGL,"Victorian Literature"
66855: ENGL,"Victorian Poetry"
66856: ENGL,"Victorian Realist Novels"
66857: ENGL,"Walt Whitman"
66858: ENGL,"Woman as Hero"
66859: ENGL,"Women And Literature"
66860: ENGL,"Women In Lit/Arts"
66861: ENGL,"Women Novelists"
66862: ENGL,"Women Writing Intro"
66863: ENGL,"Women and Literature"
66864: ENGL,"Women’s Written Expression"
66865: ENGL,"Workshop in Creative Writing"
66866: ENGL,"World Drama since 1800"
66867: ENGL,"World Drama to 1800"
66868: ENGL,"World Literature in Contexts"
66869: ENGL,"Writing Ac Curr K-12"
66870: ENGL,"Writing Across the Curriculum"
66871: ENGL,"Writing Fiction I"
66872: ENGL,"Writing Poetry I"
66873: ENGL,"Writing about Media"
66874: ENGL,"Writing and Peer Tutoring"
66875: ENGL,"Writing for the Media"
66876: ENGL,"Writing in the Business World"
66877: ENGL,"Writing/Adver & Pr"
66878: ENGL,"Wrkshp in Autobio Writing"
66879: ENGL,"Wrkshp/Wrtng Abt Lit"
66880: ENGL,"XIX Cent European Fiction"
66881: ENSC,"35  Ooo"
66882: EVSC,"39  Ooo"
66883: EVSC,"Air Pollution"
66884: EVSC,"App Env Science"
66885: EVSC,"Applied Environmental Science"
66886: EVSC,"Behavioral Ecology"
66887: EVSC,"Biogeography"
66888: EVSC,"Cellular Toxicology"
66889: EVSC,"Chem Instrumentatn"
66890: EVSC,"Chemical Ecology"
66891: EVSC,"Community Ecology"
66892: EVSC,"Conservation Biology"
66893: EVSC,"Earth Science"
66894: EVSC,"Energy Sources"
66895: EVSC,"Ens Topics-Teachers"
66896: EVSC,"Env Sci Grad Credit"
66897: EVSC,"Envirnmtl Law&Policy"
66898: EVSC,"Environ Sci 200-Level Elec"
66899: EVSC,"Environ Sci Grad Cr"
66900: EVSC,"Environ Sci Grad Crd"
66901: EVSC,"Environ Sci Grad Credit"
66902: EVSC,"Environ Sci Topic for Teachers"
66903: EVSC,"Environ Syst Simul"
66904: EVSC,"Environmental Chemistry"
66905: EVSC,"Environmental Law and Policy"
66906: EVSC,"Environmental Sci Indep Study"
66907: EVSC,"Environmental Science Graduate"
66908: EVSC,"Environmntl Sci Tchr"
66909: EVSC,"Envr Science Interns"
66910: EVSC,"Envrn Sci Ind Stdy"
66911: EVSC,"Epidemiology"
66912: EVSC,"Expermental Design"
66913: EVSC,"Global Climate Chang"
66914: EVSC,"Global Climate Change"
66915: EVSC,"Hydrology"
66916: EVSC,"Intro to Sci66917: EVSC,"Land Use&Env Policy"
66918: EVSC,"Marine Ecology"
66919: EVSC,"Meteor and Climatology Lab"
66920: EVSC,"Meteorology and Climatology"
66921: EVSC,"Mthds:Environ Anal"
66922: EVSC,"Physical Oceanography"
66923: EVSC,"Plant Evolutionary Ecology"
66924: EVSC,"Population Ecology"
66925: EVSC,"Soil and Sustainability"
66926: EVSC,"Soils and Geohydrology"
66927: EVSC,"Species Interaction"
66928: EVSC,"Systems Ecology"
66929: EVSC,"The Biosphere and Our Species"
66930: EVSC,"The Science of Global Warming"
66931: EVSC,"Thesis Research"
66932: EVSC,"Transportation Systems"
66933: FINA,"Advanced Corporate Finance"
66934: FINA,"Beyond Stocks & Bonds"
66935: FINA,"Blockchain Tech: Btcn-Hprlgr"
66936: FINA,"Brokerage Operatns"
66937: FINA,"Business of Blockchain: Un"
66938: FINA,"Credit Management"
66939: FINA,"Derivatives & Risk Mgmt"
66940: FINA,"Finance Graduate Credit"
66941: FINA,"Finance Ind Study"
66942: FINA,"Finance Independent Study"
66943: FINA,"Finance Internship"
66944: FINA,"Financial Management"
66945: FINA,"Financial Planning"
66946: FINA,"Financial Statement Analysis"
66947: FINA,"Grad FNC Ind Study"
66948: FINA,"Grad Independent Study"
66949: FINA,"Healthcare Finance"
66950: FINA,"International Finance"
66951: FINA,"Intro To Investments"
66952: FINA,"Investment Analysis"
66953: FINA,"Managerial Finance I"
66954: FINA,"Managerial Finance II"
66955: FINA,"Mathematics of Finance"
66956: FINA,"Mathmatcs Of Finance"
66957: FINA,"Monetary Theory and Policy"
66958: FINA,"Money and Banking"
66959: FINA,"Money and Capital Markets"
66960: FINA,"Personal Financial Management"
66961: FOBL,"Focus Block"
66962: FOBL,"Focus Block 2"
66963: FOLA,"Foreign Language Eligible"
66964: FOLA,"Foreign Language Exempt"
66965: FOLA,"Foreign Language Exempt 112"
66966: FOLA,"Foreign Language Exempt 113"
66967: FOLA,"Foreign Language Exempt 114"
66968: FREN,"Advanced Communication Skills"
66969: FREN,"Basic French I"
66970: FREN,"Basic French II"
66971: FREN,"Baudelaire/Naturalism"
66972: FREN,"Classical French Drama"
66973: FREN,"Contemporary French Literature"
66974: FREN,"Continuing French I"
66975: FREN,"Continuing French II"
66976: FREN,"French Civilization"
66977: FREN,"French Conversation I"
66978: FREN,"French Conversation II"
66979: FREN,"French Credit"
66980: FREN,"French Enlightenment"
66981: FREN,"French Existentialist Lit"
66982: FREN,"French Ind Study"
66983: FREN,"French Independent Study"
66984: FREN,"French Internship"
66985: FREN,"French Literature"
66986: FREN,"French Phonetics"
66987: FREN,"French Romanticism"
66988: FREN,"French for Native Speakers"
66989: FREN,"Gender in Francophone World"
66990: FREN,"Intro to Francophone Studies"
66991: FROR,"New Stu Orien Req Wv"
66992: FROR,"New Stu Sem Waived"
66993: FROR,"New Stu Seminar Sub"
66994: FROR,"New Student Seminar"
66995: GEOG,"53  Ooo"
66996: GEOG,"American Landscapes"
66997: GEOG,"Conservation and Humanity"
66998: GEOG,"Cultural Geography"
66999: GEOG,"Economic Geography"
67000: GEOG,"Environmental Ethics"
67001: GEOG,"Environmental History"
67002: GEOG,"Food67003: GEOG,"Geo Ordinary Ldscpes"
67004: GEOG,"Geographical Imaginations"
67005: GEOG,"Geography Ind Stdy"
67006: GEOG,"Geography Independent Study"
67007: GEOG,"Geography Internship"
67008: GEOG,"Geography of Africa"
67009: GEOG,"Geography of East Asia"
67010: GEOG,"Geography of New York City"
67011: GEOG,"Geography of Western Europe"
67012: GEOG,"Geography of the United States"
67013: GEOG,"Geopolitics of United States"
67014: GEOG,"Historical Geog"
67015: GEOG,"Intermediate GIS"
67016: GEOG,"Introduction to GIS"
67017: GEOG,"Introduction to Geography"
67018: GEOG,"Land Use&Env Policy"
67019: GEOG,"Latin America Geog"
67020: GEOG,"People and Their Environment"
67021: GEOG,"Place67022: GEOG,"Political Geography"
67023: GEOG,"Population Geog"
67024: GEOG,"Snr Sem In Pol Sci67025: GEOG,"Social Geography"
67026: GEOG,"Southeast Asia"
67027: GEOG,"Soviet Union Geog"
67028: GEOG,"Special Topics of Geography"
67029: GEOG,"The City of East Asia"
67030: GEOG,"The Geo of Lat Amer & Caribbea"
67031: GEOG,"The Geography of Drugs"
67032: GEOG,"The Israel-Palestine Conflict"
67033: GEOG,"Urban Geography"
67034: GEOG,"Vietnam At War&Peace"
67035: GEOG,"World Regional Geography"
67036: GEOL,"37  Ooo"
67037: GEOL,"Capstone Res Sem and Thesis"
67038: GEOL,"Earth Materials"
67039: GEOL,"Earth Resources"
67040: GEOL,"Earth Resources Laboratory"
67041: GEOL,"Earth Systems History"
67042: GEOL,"Earth Systems History Lab"
67043: GEOL,"Environmental Geology"
67044: GEOL,"Field & Env Geology of Hawaii"
67045: GEOL,"Fld&Env Geo Italy"
67046: GEOL,"Fundamentals of Phy Geo Lab"
67047: GEOL,"Fundamentals of Physic Geology"
67048: GEOL,"General Geophysics"
67049: GEOL,"Geo Hazards & Nat Disaster Lab"
67050: GEOL,"Geo Hazards & Nat Disasters"
67051: GEOL,"Geochemistry"
67052: GEOL,"Geology Field Trip"
67053: GEOL,"Geology Ind Study"
67054: GEOL,"Geology Independent Study"
67055: GEOL,"Geology Internship"
67056: GEOL,"Geospatial Data Analysis"
67057: GEOL,"Internship"
67058: GEOL,"Invertebrate Paleontology"
67059: GEOL,"Marine Geology"
67060: GEOL,"Mineral Resources"
67061: GEOL,"Planet Earth"
67062: GEOL,"Planet Earth Laboratory"
67063: GEOL,"Planetary Geology"
67064: GEOL,"Pollution & Waste Disposal Lab"
67065: GEOL,"Pollution and Waste Disposal"
67066: GEOL,"Residential Field Course"
67067: GEOL,"Scottish Field Geo"
67068: GEOL,"Sedimentology and Stratigraphy"
67069: GEOL,"Structural Geology"
67070: GERM,"20 Cent Lit/Transl"
67071: GERM,"Adv Communication"
67072: GERM,"Basic German I"
67073: GERM,"Basic German Ii"
67074: GERM,"Continuing German"
67075: GERM,"Continuing German I"
67076: GERM,"Conversation I"
67077: GERM,"Conversation II"
67078: GERM,"German Cinema"
67079: GERM,"German Ind Study"
67080: GERM,"German Independent Study"
67081: GERM,"German Internship"
67082: GERM,"Modern Literature"
67083: GERM,"Scientific German"
67084: GWSS,"Anthropology Of Women"
67085: GWSS,"Birth and Death"
67086: GWSS,"Community Workshop"
67087: GWSS,"Cont Issues Hum Sexu"
67088: GWSS,"Food67089: GWSS,"Gender & Sexu in China & Japan"
67090: GWSS,"Gender And The Negot Of Differ"
67091: GWSS,"Gender Based Activism Internsh"
67092: GWSS,"Gender Contemporary World"
67093: GWSS,"Gender and Sexuality"
67094: GWSS,"Gender in the Francophone Wrld"
67095: GWSS,"Gndr67096: GWSS,"Histories of Sexuality iModWrl"
67097: GWSS,"History of American Women"
67098: GWSS,"Intro Women67099: GWSS,"Intro Women’s History"
67100: GWSS,"Major Women Author I"
67101: GWSS,"Major Women Author II"
67102: GWSS,"Major Women Author III"
67103: GWSS,"Mentoring & Adolescent Dev"
67104: GWSS,"Mythology of Women"
67105: GWSS,"Non-Sexist Education"
67106: GWSS,"Psychology of Women"
67107: GWSS,"Queer Studies"
67108: GWSS,"Research Problems in Feminism"
67109: GWSS,"Sex Roles and the Law"
67110: GWSS,"Sex and Society"
67111: GWSS,"Sociology of Men"
67112: GWSS,"Sociology of Women"
67113: GWSS,"The Recovery of Women’s Past"
67114: GWSS,"Themes Amer Womn Hst"
67115: GWSS,"WMN Gender Internship Study"
67116: GWSS,"Wmn in Eur Lit after Renaiss"
67117: GWSS,"Wmn in Euro Lit to Renaissance"
67118: GWSS,"Wmn67119: GWSS,"Wmn’s Gender67120: GWSS,"Woman as Hero"
67121: GWSS,"Women European Literature"
67122: GWSS,"Women Gender Indep Study"
67123: GWSS,"Women In Lit/Arts"
67124: GWSS,"Women Novelists"
67125: GWSS,"Women Writing Intro"
67126: GWSS,"Women and Film"
67127: GWSS,"Women and Literature"
67128: GWSS,"Women and Work"
67129: GWSS,"Women and the Economy"
67130: GWSS,"Women and the Fine Arts"
67131: GWSS,"Women as Creative Persons"
67132: GWSS,"Women in Latin America"
67133: GWSS,"Women in Performance"
67134: GWSS,"Women&Gender Independent Study"
67135: GWSS,"Women67136: GWSS,"Women/Gender Independent Study"
67137: GWSS,"Women’s Hist & Feminist Theory"
67138: GWSS,"Women’s Written Expression"
67139: HIST,"20 Cent Europe Soc"
67140: HIST,"20 Century China"
67141: HIST,"20th Century Europe"
67142: HIST,"42  Ooo"
67143: HIST,"Africa Encounters Europe"
67144: HIST,"Afro-Amer Hist I"
67145: HIST,"Afro-Amer Hist II"
67146: HIST,"Afro-Amer Origins"
67147: HIST,"Afro-Amer Survey"
67148: HIST,"Age of Revolutions: 1765-1820"
67149: HIST,"Age of the French Revolution"
67150: HIST,"Amer Rep 1788-1850"
67151: HIST,"American Civiliztn"
67152: HIST,"American Economic History"
67153: HIST,"American Ideas"
67154: HIST,"American Landscapes"
67155: HIST,"Americn Revolution"
67156: HIST,"Ancient Jewish Hst"
