17084: ACCT,"Acc Applications On Microcomp"
18502: MDTC,"Med Emerg Tech Ii"
18503: MDTC,"Med Emerg Tech Iii"
18504: MDTC,"Med Emerg Tech Iv"
18505: MDTC,"Med Rec Clin Prac"
18506: MDTC,"Med Rec Clin Prac 2"
18507: MDTC,"Med Rec Clin Prac I"
18508: MDTC,"Med Record Sci II"
18509: MDTC,"Med Record Sci III"
18510: MDTC,"Med Record Sci IV"
18511: MDTC,"Med Record Sci Ii"
18512: MDTC,"Med Recrd Science I"
18513: MDTC,"Med Terminology"
18514: MDTC,"Med Terminology I"
18515: MDTC,"Med Terminology II"
18516: MDTC,"Med Terminology Ii"
18517: MDTC,"Med/Applications"
18518: MDTC,"Med/Coding I"
18519: MDTC,"Med/Coding II"
18520: MDTC,"Med/Record/Mgmt."
18521: MDTC,"Medical Coding"
18522: MDTC,"Medical Coding I"
18523: MDTC,"Medical Emergency Technology I"
18524: MDTC,"Medical Record Science I"
18525: MDTC,"Medical Terminology"
18526: MDTC,"Medical Terminology I"
18527: MDTC,"Medical Terminology II"
18528: MDTC,"Medicolegal Applications"
18529: MDTC,"Mrt Summer Cln Prac"
18530: MDTC,"Orient To Med Tech"
18531: MDTC,"Pathol Of Disease"
18532: MDTC,"Pathology and Pharmacology"
18533: MDTC,"Pathology of Diseases I"
18534: MDTC,"Pathology of Diseases II"
18535: MDTC,"Perform Improve & Data Analysi"
18536: MDTC,"Prin of Health Care Reimburse"
18537: MDTC,"Prof Practic Exp II"
18538: MDTC,"Professional Practice Expr I"
18539: MDTC,"Qual/Assur/Form  02"
18540: MDTC,"Ret Retr Health Info"
18541: MESG,"Applied Lib Service"
18542: MESG,"CUNYstart Seminar"
18543: MESG,"Enlight Rev & Roman"
18544: MESG,"Int Directed Study"
18545: MESG,"Intro To Lib Svce"
18546: MESG,"New Media Mat & Org"
18547: MESG,"On Permit"
18548: MESG,"Permit Fr Baruch"
18549: MESG,"Permit Fr Bronx"
18550: MESG,"Permit Fr Brooklyn"
18551: MESG,"Permit Fr City"
18552: MESG,"Permit Fr Evers"
18553: MESG,"Permit Fr Hostos"
18554: MESG,"Permit Fr Hunter"
18555: MESG,"Permit Fr John Jay"
18556: MESG,"Permit Fr Kingsboro"
18557: MESG,"Permit Fr Laguardia"
18558: MESG,"Permit Fr Lehman"
18559: MESG,"Permit Fr Non-Cuny"
18560: MESG,"Permit Fr Nyccc"
18561: MESG,"Permit Fr Qnsboro"
18562: MESG,"Permit Fr Queens"
18563: MESG,"Permit Fr Richmond"
18564: MESG,"Permit Fr Staten Is"
18565: MESG,"Permit Fr York"
18566: MESG,"Permit From Cuny Ba"
18567: MESG,"Permit To Baruch"
18568: MESG,"Permit To Bronx"
18569: MESG,"Permit To Brooklyn"
18570: MESG,"Permit To City"
18571: MESG,"Permit To Cuny Ba"
18572: MESG,"Permit To Evers"
18573: MESG,"Permit To Grad Ctr"
18574: MESG,"Permit To Hostos"
18575: MESG,"Permit To Hunter"
18576: MESG,"Permit To John Jay"
18577: MESG,"Permit To Kingsboro"
18578: MESG,"Permit To Laguardia"
18579: MESG,"Permit To Lehman"
18580: MESG,"Permit To Nyccc"
18581: MESG,"Permit To Qnsboro"
18582: MESG,"Permit To Queens"
18583: MESG,"Permit To Richmond"
18584: MESG,"Permit To Staten Is"
18585: MESG,"Permit To U Paris"
18586: MESG,"Permit To York"
18587: MESG,"Permit-Sch Prof Stu"
18588: MESG,"Pub Service In Lib"
18589: MESG,"Tap Credit Eval"
18590: MESG,"Tech Proc In Lib"
18591: MESG,"The Great Cities"
18592: MODL,"Comp Gram Frgn Stnt"
18593: MUPD,"Advanced Web Design"
18594: MUPD,"Cont.Develfortheweb"
18595: MUPD,"Digi Imag Grap Design"
18596: MUPD,"Digital Film Fundamentals"
18597: MUPD,"Dist. Multmedia App"
18598: MUPD,"Founds Digital Graph Dsgn"
18599: MUPD,"Interact Des with Multi Pgmng"
18600: MUPD,"Intro Digital Fabr & Phys Comp"
18601: MUPD,"Intro Moving Image w/Learn Lab"
18602: MUPD,"Intro To Contemporary Media"
18603: MUPD,"Intro to Video Game Design"
18604: MUPD,"Introduction to Moving Image"
18605: MUPD,"Introduction to Multimedia"
18606: MUPD,"Introduction to Video Graphics"
18607: MUPD,"Media Arts & Tech Intern II"
18608: MUPD,"Media Arts & Tech Internship"
18609: MUPD,"Multimedia Design"
18610: MUPD,"Multimedia Networks"
18611: MUPD,"Multimedia Programming I"
18612: MUPD,"Multimedia Programming II"
18613: MUPD,"Multimedia Project Lab"
18614: MUPD,"Prof Devel & Car Plan in Media"
18615: MUPD,"Programming for Multimedia"
18616: MUPD,"Script Writing"
18617: MUPD,"Script Writing (Honors)"
18618: MUPD,"Topics in Media Arts and Tech"
18619: MUPD,"Type in Motion"
18620: MUPD,"Typography and Layout"
18621: MUPD,"Visual Comm Design"
18622: MUPD,"Web Design"
18623: MUPD,"World History of Animation"
18624: MUSI,"16th Century Counterpoint"
18625: MUSI,"Afro-American Music"
18626: MUSI,"Applied Studies: Brass I"
18627: MUSI,"Applied Studies: Brass II"
18628: MUSI,"Applied Studies: Brass III"
18629: MUSI,"Applied Studies: Brass IV"
18630: MUSI,"Applied Studies: Guitar I"
18631: MUSI,"Applied Studies: Guitar II"
18632: MUSI,"Applied Studies: Guitar III"
18633: MUSI,"Applied Studies: Guitar IV"
18634: MUSI,"Applied Studies: Percussion I"
18635: MUSI,"Applied Studies: Percussion II"
18636: MUSI,"Applied Studies: Percussion IV"
18637: MUSI,"Applied Studies: Piano I"
18638: MUSI,"Applied Studies: Piano II"
18639: MUSI,"Applied Studies: Piano III"
18640: MUSI,"Applied Studies: Piano IV"
18641: MUSI,"Applied Studies: Strings I"
18642: MUSI,"Applied Studies: Strings II"
18643: MUSI,"Applied Studies: Strings III"
18644: MUSI,"Applied Studies: Strings IV"
18645: MUSI,"Applied Studies: Voice I"
18646: MUSI,"Applied Studies: Voice II"
18647: MUSI,"Applied Studies: Voice III"
18648: MUSI,"Applied Studies: Voice IV"
18649: MUSI,"Applied Studies: Woodwinds I"
18650: MUSI,"Applied Studies: Woodwinds II"
18651: MUSI,"Applied Studies: Woodwinds III"
18652: MUSI,"Applied Studies: Woodwinds IV"
18653: MUSI,"Applied Studies:Percussion III"
18654: MUSI,"Arranging I"
18655: MUSI,"Arranging II"
18656: MUSI,"Art III: Materials & Technique"
18657: MUSI,"Art Ii"
18658: MUSI,"Art Survey I"
18659: MUSI,"Aural Skills I"
18660: MUSI,"Aural Skills II"
18661: MUSI,"Aural Skills III"
18662: MUSI,"Aural Skills IV"
18663: MUSI,"Basics of Digital Music Produc"
18664: MUSI,"Bebop to Hip-Hop"
18665: MUSI,"Brass Ensemble I"
18666: MUSI,"Brass Ensemble II"
18667: MUSI,"Brass Ensemble III"
18668: MUSI,"Brass Ensemble IV"
18669: MUSI,"Brass Private Instruction I"
18670: MUSI,"Brass Private Instruction II"
18671: MUSI,"Brass Private Instruction III"
18672: MUSI,"Brass Private Instruction IV"
18673: MUSI,"Brasswind Class"
18674: MUSI,"Chorus IV"
18675: MUSI,"College Chorus I"
18676: MUSI,"College Chorus II"
18677: MUSI,"College Chorus III"
18678: MUSI,"College Chorus IV"
18679: MUSI,"Composition I"
18680: MUSI,"Composition II"
18681: MUSI,"Composition III"
18682: MUSI,"Composition IV"
18683: MUSI,"Concert Choir I"
18684: MUSI,"Concert Choir II"
18685: MUSI,"Concert Choir III"
18686: MUSI,"Concert Choir IV"
18687: MUSI,"Digital Music and Recording"
18688: MUSI,"Exploring Music"
18689: MUSI,"Fundamentals of Music"
18690: MUSI,"Guitar Class I"
18691: MUSI,"Guitar Class II"
18692: MUSI,"Guitar Ensemble I"
18693: MUSI,"Guitar Ensemble II"
18694: MUSI,"Guitar Ensemble III"
18695: MUSI,"Guitar Ensemble IV"
18696: MUSI,"Guitar Private Instruction I"
18697: MUSI,"Guitar Private Instruction II"
18698: MUSI,"Guitar Private Instruction III"
18699: MUSI,"Guitar Private Instruction IV"
18700: MUSI,"Instrumental Ensemble I"
18701: MUSI,"Instrumental Ensemble II"
18702: MUSI,"Instrumental Ensemble III"
18703: MUSI,"Instrumental Ensemble IV"
18704: MUSI,"Intro To Music I"
18705: MUSI,"Introduction of World Music"
18706: MUSI,"Introduction to Digital Music"
18707: MUSI,"Jazz & Popular Music Aural I"
18708: MUSI,"Jazz & Popular Music Aural II"
18709: MUSI,"Jazz & Popular Music Theory I"
18710: MUSI,"Jazz & Popular Music Theory II"
18711: MUSI,"Jazz Performance Workshop I"
18712: MUSI,"Jazz Performance Workshop II"
18713: MUSI,"Jazz Performance Workshop III"
18714: MUSI,"Jazz Performance Workshop IV"
18715: MUSI,"Keyboard Workshop I"
18716: MUSI,"Keyboard Workshop II"
18717: MUSI,"Keyboard Workshop III"
18718: MUSI,"Keyboard Workshop IV"
18719: MUSI,"MUS Directed Study"
18720: MUSI,"Method:Low String Cello/StrBas"
18721: MUSI,"Method:Upp String Violin/Viola"
18722: MUSI,"Methods: Brass"
18723: MUSI,"Methods: Guitar"
18724: MUSI,"Methods: Percussion"
18725: MUSI,"Methods: Voice"
18726: MUSI,"Methods: Woodwinds"
18727: MUSI,"Mus Directed Study"
18728: MUSI,"Music Business"
18729: MUSI,"Music Directed Study"
18730: MUSI,"Music I: Introduction to Music"
18731: MUSI,"Music Ii"
18732: MUSI,"Music Notation Software"
18733: MUSI,"Music Theory I"
18734: MUSI,"Music Theory II"
18735: MUSI,"Music Theory III"
18736: MUSI,"Music Theory IV"
18737: MUSI,"Music and Movement in Learning"
18738: MUSI,"Music and Western Society"
18739: MUSI,"Music in World Culture"
18740: MUSI,"Musical Theatre:Act Song Lev I"
18741: MUSI,"Musicianship I"
18742: MUSI,"Musicianship II"
18743: MUSI,"Musicianship III"
18744: MUSI,"Musicianship IV"
18745: MUSI,"Orchestral Performance I"
18746: MUSI,"Orchestral Performance II"
18747: MUSI,"Orchestral Performance III"
18748: MUSI,"Orchestral Performance IV"
18749: MUSI,"Organ Private Instruction I"
18750: MUSI,"Organ Private Instruction II"
18751: MUSI,"Organ Private Instruction III"
18752: MUSI,"Organ Private Instruction IV"
18753: MUSI,"Percussion"
18754: MUSI,"Percussion Pvt Inst I"
18755: MUSI,"Percussion Pvt Inst Ii"
18756: MUSI,"Percussion Pvt Inst Iii"
18757: MUSI,"Percussion Pvt Inst Iv"
18758: MUSI,"Piano Class I"
18759: MUSI,"Piano Class II"
18760: MUSI,"Piano Class III"
18761: MUSI,"Piano Class IV"
18762: MUSI,"Piano Private Instruction I"
18763: MUSI,"Piano Private Instruction II"
18764: MUSI,"Piano Private Instruction III"
18765: MUSI,"Piano Private Instruction IV"
18766: MUSI,"Principles Of Music (Honors)"
18767: MUSI,"Principles of Music"
18768: MUSI,"Private Instruction I"
18769: MUSI,"Private Instruction II"
18770: MUSI,"Private Instruction Iii"
18771: MUSI,"Private Instruction Iv"
18772: MUSI,"Puerto Rican Music"
18773: MUSI,"String Ensemble I"
18774: MUSI,"String Ensemble II"
18775: MUSI,"String Ensemble III"
18776: MUSI,"String Ensemble IV"
18777: MUSI,"Strings"
18778: MUSI,"Strings Private Instruction I"
18779: MUSI,"Strings Private Instruction II"
18780: MUSI,"Strings Private Instruction IV"
18781: MUSI,"Strings Pvt Inst III"
18782: MUSI,"The World of Hip-Hop"
18783: MUSI,"The World of Jazz"
18784: MUSI,"Voice Class I"
18785: MUSI,"Voice Class II"
18786: MUSI,"Voice Private Instruction I"
18787: MUSI,"Voice Private Instruction II"
18788: MUSI,"Voice Private Instruction III"
18789: MUSI,"Voice Private Instruction IV"
18790: MUSI,"Wind Ensemble I"
18791: MUSI,"Wind Ensemble II"
18792: MUSI,"Wind Ensemble III"
18793: MUSI,"Wind Ensemble IV"
18794: MUSI,"Women in Music"
18795: MUSI,"Woodwind Class"
18796: MUSI,"Woodwind Private Inst IV"
18797: MUSI,"Woodwind Private Instruct III"
18798: MUSI,"Woodwind Private Instruction I"
18799: MUSI,"Woodwind Pvt Instruction II"
18800: MUSI,"Worldbeat Global Mu"
18801: NURS,"Comp Nursing Care"
18802: NURS,"Fund. Of Nursing"
18803: NURS,"Nursing Process IV"
18804: NURS,"Ob & Psy Nur Care"
18805: NURS,"Ped & Med Surg Care"
18806: NURS,"Pro Issue Contmp Nursing Pract"
18807: OFAT,"Communications for the Office"
18808: OFAT,"Computer Keyboarding"
18809: OFAT,"Desktop Publishing"
18810: OFAT,"Keyboarding"
18811: OFAT,"OIS Supervision"
18812: OFAT,"Off. & Mach Trans."
18813: OFAT,"Superwrite"
18814: OFAT,"Text Processing I"
18815: OFAT,"Text Processing II"
18816: OFAT,"Text Processing III"
18817: OFTC,"Adv Med Transcript"
18818: OFTC,"Advanced Sec Sci"
18819: OFTC,"Biling Sten II Greg"
18820: OFTC,"Biling Sten Ii Pit"
18821: OFTC,"Biling Steno I Greg"
18822: OFTC,"Biling Steno I Pit"
18823: OFTC,"Biling Steno Ii Grg"
18824: OFTC,"Biling Steno Ii Pit"
18825: OFTC,"Bilingal Typing II"
18826: OFTC,"Bilingual Stenography II"
18827: OFTC,"Bilingual Typing I"
18828: OFTC,"Ed Prob Sch Sec Ii"
18829: OFTC,"Ed Prob Sch Sed I"
18830: OFTC,"Exec Typing I"
18831: OFTC,"Exec Typing II"
18832: OFTC,"Intro Sec Sci I"
18833: OFTC,"Intro Sec Sci Ii"
18834: OFTC,"Intro Transcr Gregg"
18835: OFTC,"Intro Transcr Pit"
18836: OFTC,"Keypunch Operator"
18837: OFTC,"Legal Sten 1a Gregg"
18838: OFTC,"Legal Sten 1a Pitmn"
18839: OFTC,"Legal Sten 1b Gregg"
18840: OFTC,"Legal Sten 1b Pitmn"
18841: OFTC,"Legal Steno I Pitmn"
18842: OFTC,"Legal Steno Pitt"
18843: OFTC,"Legal Stenography I Gregg"
18844: OFTC,"Legal Stenography II"
18845: OFTC,"Legal Stenoii Gregg"
18846: OFTC,"Legal Trans I Gregg"
18847: OFTC,"Legal Trans I Pit"
18848: OFTC,"Legal Trans IIgreg"
18849: OFTC,"Legal Trans Ii Pit"
18850: OFTC,"Legal Typing I"
18851: OFTC,"Legal Typing II"
18852: OFTC,"Legal Vocab Gregg"
18853: OFTC,"Legal Vocab I Pl"
18854: OFTC,"Legal Vocab Pitman"
18855: OFTC,"Legal Vocabulary Gregg II"
18856: OFTC,"Legl Steno Ii Gregg"
18857: OFTC,"Legl Steno Ii Pitmn"
18858: OFTC,"Legl Vocab Pitmn Ii"
18859: OFTC,"Med Office Pract I"
18860: OFTC,"Med Office Pract Ii"
18861: OFTC,"Med Transcription"
18862: OFTC,"Medical Typewriting"
18863: OFTC,"Off Prac & Mach Ii"
18864: OFTC,"Off Pract & Mach I"
18865: OFTC,"Off Pract & Mach Ii"
18866: OFTC,"Office Practice"
18867: OFTC,"Personal Typing"
18868: OFTC,"Pit Legal Stenography II"
18869: OFTC,"Pre-Transcript Greg"
18870: OFTC,"Pre-Transcript Pit"
18871: OFTC,"Prob School Sec I"
18872: OFTC,"Prob School Sec II"
18873: OFTC,"SEC Directed Study"
18874: OFTC,"School Rec & Acct"
18875: OFTC,"School Records and Accounts"
18876: OFTC,"Sec Correspondence"
18877: OFTC,"Sec Directed Study"
18878: OFTC,"Steno Ii Pittman"
18879: OFTC,"Steno Theory Gregg"
18880: OFTC,"Steno Theory Pitman"
18881: OFTC,"Stenography I"
18882: OFTC,"Stenography Ii"
18883: OFTC,"Touch Shorthand I"
18884: OFTC,"Touch Shorthand Ii"
18885: OFTC,"Transcpt IIIa Gregg"
18886: OFTC,"Transcpt IIIb Gregg"
18887: OFTC,"Transcpt Iiia Pitmn"
18888: OFTC,"Transcpt Iiib Pitmn"
18889: OFTC,"Transcript I Gregg"
18890: OFTC,"Transcript I Pit"
18891: OFTC,"Transcript II Gregg"
18892: OFTC,"Transcript II Pit"
18893: OFTC,"Transcription III"
18894: OFTC,"Transcription IV"
18895: OFTC,"Transcrpt III Gregg"
18896: OFTC,"Transcrpt IV Gregg"
18897: OFTC,"Transcrpt IVb Gregg"
18898: OFTC,"Transcrpt Iii Pitmn"
18899: OFTC,"Transcrpt Iv Pitman"
18900: OFTC,"Transcrpt Iva Pitmn"
18901: OFTC,"Transcrpt Ivb Pitmn"
18902: OFTC,"Typewriting I"
18903: OFTC,"Typewriting II"
18904: OFTC,"Typewriting Ii"
18905: OFTC,"Word Processing Concepts"
18906: OFTC,"Word Processing I"
18907: OFTC,"Word Processing II"
18908: PAST,"Estate Plan & Admin"
18909: PAST,"Legal Concepts"
18910: PAST,"Legal Ethics"
18911: PAST,"Legal Res & Writing"
18912: PAST,"Ny Civl Prac & Proc"
18913: PERM,"Permit Course-1 Credit"
18914: PERM,"Permit Course-10 Credits"
18915: PERM,"Permit Course-11 Credits"
18916: PERM,"Permit Course-12 Credits"
18917: PERM,"Permit Course-13 Credits"
18918: PERM,"Permit Course-14 Credits"
18919: PERM,"Permit Course-15 Credits"
18920: PERM,"Permit Course-16 Credits"
18921: PERM,"Permit Course-17 Credits"
18922: PERM,"Permit Course-18 Credits"
18923: PERM,"Permit Course-2 Credits"
18924: PERM,"Permit Course-3 Credits"
18925: PERM,"Permit Course-4 Credits"
18926: PERM,"Permit Course-5 Credits"
18927: PERM,"Permit Course-6 Credits"
18928: PERM,"Permit Course-7 Credits"
18929: PERM,"Permit Course-8 Credits"
18930: PERM,"Permit Course-9 Credits"
18931: PHIL,"Critical Thinking"
18932: PHIL,"Ethic Issue Sci/Tec"
18933: PHIL,"Ethics"
18934: PHIL,"Ethics (Honors)"
18935: PHIL,"Great Issues in Philosophy"
18936: PHIL,"Logic"
18937: PHIL,"PHI Directed Study"
18938: PHIL,"Phi Directed Study"
18939: PHIL,"Philosophy"
18940: PHIL,"Philosophy (Honors)"
18941: PHIL,"Philosophy Directed Study"
18942: PHYS,"General Physics"
18943: PHYS,"General Physics (Honors)"
18944: PHYS,"General Physics Experiments"
18945: PHYS,"General Physics Theory"
18946: PHYS,"Modern Physics"
18947: PHYS,"Phy Directed Study"
18948: PHYS,"Physics Directed Study"
18949: PHYS,"Physics I"
18950: PHYS,"Physics II"
18951: PHYS,"The Physics of Music"
18952: PHYS,"University Physics I"
18953: PHYS,"University Physics II"
18954: POSC,"American Government"
18955: POSC,"Comparative Politics"
18956: POSC,"Gender and Politics"
18957: POSC,"Introduction to Politics"
18958: POSC,"Modern Black Political Thought"
18959: POSC,"Pol Puertorican Com"
18960: POSC,"Political Economy of Technosci"
18961: POSC,"Political Theory"
18962: POSC,"Power in American Politics"
18963: POSC,"Thinking with the Greeks"
18964: POSC,"Urban Politics"
18965: POSC,"World Politics"
18966: PRST,"1900 To Present"
18967: PRST,"Contemp Pr Lit"
18968: PRST,"Conver Pr Span I"
18969: PRST,"Conver Pr Span II"
18970: PRST,"Discvry Thru 19th"
18971: PRST,"Ear Col 19th Cent"
18972: PRST,"Hist Of Domin Rep"
18973: PRST,"History of Puerto Rico II"
18974: PRST,"Lat Amer&Carib Soc"
18975: PRST,"Latin & Carib Music"
18976: PRST,"P R Writers"
18977: PRST,"PRN Directed Study"
18978: PRST,"Polit Of Pr Commun"
18979: PRST,"Pr Cult & Folk"
18980: PRST,"Pr Cult & Folk I"
18981: PRST,"Pr Cult & Folk Literature"
18982: PRST,"Pr Econ Development"
18983: PRST,"Pr Exp In Urban Us"
18984: PRST,"Pr Theater"
18985: PRST,"Prn Directed Study"
18986: PRST,"Puerto Rican Directed Study"
18987: PRST,"Puerto Rican Lit I"
18988: PRST,"Puerto Rican Literature II"
18989: PRST,"Puerto Rican Music"
18990: PRST,"Short Story Carib"
18991: PRST,"Span Comp Pr Adv"
18992: PRST,"Span Comp Pr Interm"
18993: PRST,"The P.R. Family"
18994: PSYC,"Abnormal Psychology"
18995: PSYC,"Abnormal Psychology (Honors)"
18996: PSYC,"Behavioral Statistics"
18997: PSYC,"Child Psychology"
18998: PSYC,"Child Psychology (Honors)"
18999: PSYC,"Cognitive Psychology"
19000: PSYC,"Cultural Psychology"
19001: PSYC,"Cultural Psychology (Honors)"
19002: PSYC,"Developmental Psychology"
19003: PSYC,"Foundation Black Ps"
19004: PSYC,"Intro to Psychology (Honors)"
19005: PSYC,"Introduction to Psychology"
19006: PSYC,"Psy Directed Study"
19007: PSYC,"Psychology Workshop"
19008: PSYC,"Psychology of Death and Dying"
19009: PSYC,"Psychology of Personality"
19010: PSYC,"Psychology of Women"
19011: PSYC,"Research in Psychology"
19012: PSYC,"Social Psychology"
19013: PSYC,"Social Psychology (Honors)"
19014: PUAD,"Intro to Pub Admin"
19015: PUAD,"Pub Ad Case Studies"
19016: PUAD,"Pub Ad Field Exper"
19017: PUAD,"The Bureaucracy"
19018: PULM,"Fund Inhala Therapy"
19019: PULM,"IHT Clinic Prac I"
19020: PULM,"Iht Clinic Prac II"
19021: PULM,"Iht Clinic Prac Iii"
19022: PULM,"Inhalat Therapy I"
19023: PULM,"Inhalat Therapy III"
19024: PULM,"Inhalat Therapy Ii"
19025: PULM,"Inhalat Therapy Iii"
19026: PULM,"Pathology"
19027: PUNA,"Intro Public Affairs & Admin"
19028: PUNA,"Performance Measurement"
19029: PUNA,"Policy Development & Analysis"
19030: PUNA,"Res Meth NonProf & Pub Adm"
19031: READ,"Rdg Lab Level I"
19032: READ,"Rdg Lab Level II"
19033: READ,"Rdg Lab Level III"
19034: READ,"Rdg Lab Level Iii"
19035: READ,"Rdg Study Skills"
19036: READ,"Reading Lab"
19037: READ,"Reading Laboratory"
19038: READ,"Reading and Study Skills II"
19039: READ,"Reading and Study Skills III"
19040: RECR,"Community Recreation"
19041: RECR,"Crafts in Recreation"
19042: RECR,"Dance In Recreat"
19043: RECR,"First Aid and Safety"
19044: RECR,"Fund Of Team Sports"
19045: RECR,"Indiv & Dual Sports"
19046: RECR,"Leadrshp In Recreat"
19047: RECR,"Low Org Activities"
19048: RECR,"Music In Recreat"
19049: RECR,"Org Of Rec Program"
19050: RECR,"Outdoor Recreation"
19051: RECR,"Prin of Ped Hlth & Recreation"
19052: RECR,"Rec Directed Study"
19053: RECR,"Rg Of Rec Program"
19054: RECR,"Social Recreation"
19055: RECR,"Supervised Field Experiment"
19056: RECR,"Team Sports"
19057: RETH,"Cardio-Respiratory Physiology"
19058: RETH,"Fund Clin Medicine"
19059: RETH,"Fund Respir Therapy"
19060: RETH,"Intro Resp Therapy Equipment"
19061: RETH,"Pulmonary Function Testing"
19062: RETH,"RTT Clinic Pract I"
19063: RETH,"RTT Clinic Pract II"
19064: RETH,"RTT Clinic Pract III"
19065: RETH,"Respiratory Therapy I"
19066: RETH,"Respiratory Therapy II"
19067: RETH,"Respiratory Therapy III"
19068: RETH,"Rtt Summer Cln Prac"
19069: SCIE,"Biology I"
19070: SCIE,"Chemistry I"
19071: SCIE,"Computer Methods in Science"
19072: SCIE,"Cputr Methds/Pascal"
19073: SCIE,"General Biology"
19074: SCIE,"General Chemistry"
19075: SCIE,"General Physics"
19076: SCIE,"General Science"
19077: SCIE,"Man and Environment"
19078: SCIE,"Microprocessors"
19079: SCIE,"Nutrition"
19080: SCIE,"Pathophysiology"
19081: SCIE,"Pharmacology"
19082: SCIE,"Physics I"
19083: SCIE,"Prin of Science I"
19084: SCIE,"SCI Directed Study"
19085: SCIE,"Sci Directed Study"
19086: SCIE,"Sci/Math Research"
19087: SCIE,"Science Directed Study"
19088: SCIE,"Scientific Directed Study"
19089: SCIE,"Scientific Instrumentation"
19090: SCIE,"The Science of Food"
19091: SOCI,"Art19092: SOCI,"Blk Man In Society"
19093: SOCI,"Comparative Ethnic Studies"
19094: SOCI,"Gender and Society"
19095: SOCI,"Hlth Prob Urban Com"
19096: SOCI,"Introduction to Sociology"
19097: SOCI,"P.R Exp In Urban Us"
19098: SOCI,"Race and Ethnicity"
19099: SOCI,"Race and Ethnicity (Honors)"
19100: SOCI,"SOC Directed Study"
19101: SOCI,"Soc Directed Study"
19102: SOCI,"Social Problems"
19103: SOCI,"Sociology Black Urb"
19104: SOCI,"Sociology Capstone"
19105: SOCI,"Sociology Directed Study"
19106: SOCI,"Sociology Workshop"
19107: SOCI,"Sociology of Health & Illness"
19108: SOCI,"Sociology of Urban Education"
19109: SOCI,"Technological Society (Honors)"
19110: SOCI,"The Contemporary Black Family"
19111: SOCI,"The Family"
19112: SOCI,"The Latino Experience In U.S."
19113: SOCI,"The Puerto Rican Family"
19114: SOCI,"Understanding Techno Society"
19115: SOCI,"Urban Sociology"
19116: SOCI,"Urban Sociology (Honors)"
19117: SOSC,"American Government"
19118: SOSC,"American History I"
19119: SOSC,"American History II"
19120: SOSC,"Child Psychology"
19121: SOSC,"Comparative Government"
19122: SOSC,"Cont Civilization"
19123: SOSC,"Contemporary Civilization"
19124: SOSC,"Ethnic Groups in American Life"
19125: SOSC,"Europe Since 1815"
19126: SOSC,"Field Experience I"
19127: SOSC,"Field Experience II"
19128: SOSC,"Field Experience in Italy"
19129: SOSC,"Field Experiment II"
19130: SOSC,"Fld Exp In Soc Work"
19131: SOSC,"General Psychology"
19132: SOSC,"Intro to Psychology"
19133: SOSC,"Intro to Sociology"
19134: SOSC,"Introduction to Anthropology"
19135: SOSC,"Introduction to Economics"
19136: SOSC,"Introduction to Social Work"
19137: SOSC,"Introduction to Sociology"
19138: SOSC,"Latin Ame Caribbean"
19139: SOSC,"Marriage & The Fam."
19140: SOSC,"Political Process"
19141: SOSC,"Prin of Economics"
19142: SOSC,"Psychology of Personality"
19143: SOSC,"SSC Directed Study"
19144: SOSC,"SSR Directed Study"
19145: SOSC,"So Sci-Cont Society"
19146: SOSC,"Soc Welf Prog & Pol"
19147: SOSC,"Soc Work Fld Exp 1"
19148: SOSC,"Soc Work Fld Exp 2"
19149: SOSC,"Soc Work Fld Exp 3"
19150: SOSC,"Soc Work Fld Exp 4"
19151: SOSC,"Social Directed Study"
19152: SOSC,"Social Intell His"
19153: SOSC,"Social Problems"
19154: SOSC,"Social Psychology"
19155: SOSC,"Social Science Directed Study"
19156: SOSC,"Social Service Directed Study"
19157: SOSC,"Social Social Directed Study"
19158: SOSC,"Social Welfare Sem"
19159: SOSC,"Social Work Field Exp V"
19160: SOSC,"Social Work Field Exp VI"
19161: SOSC,"Ssc Directed Study"
19162: SOSC,"Ssr Directed Study"
19163: SOSC,"The Black Experience in Africa"
19164: SPAN,"20th Cent.Span Lit"
19165: SPAN,"Adv Spanish Conv I"
19166: SPAN,"Adv. Spanish Grammar & Comp."
19167: SPAN,"Advanced Spanish Composition"
19168: SPAN,"Basic Spanish Conversation"
19169: SPAN,"Creative Writing in Spanish"
19170: SPAN,"Elem Intensive Spanish 1 & 2"
19171: SPAN,"Elem Spn-Spn Spkers"
19172: SPAN,"Element Spanish I"
19173: SPAN,"Hispanic Heritage"
19174: SPAN,"Int.Spn Thea."
19175: SPAN,"Inter Span I for Speak of Span"
19176: SPAN,"Inter Span II Speak of Span"
19177: SPAN,"Intr.Spn Poe 20 Cen"
19178: SPAN,"IntrSpnII SpeakofSpan (Honors)"
19179: SPAN,"Intro Span II for Speak of Spa"
19180: SPAN,"Intro Spn For Speakers Of Spn"
19181: SPAN,"Introductory Spanish I"
19182: SPAN,"Introductory Spanish II"
19183: SPAN,"Latin American Women Writers"
19184: SPAN,"Lit and Civilization of Spain"
19185: SPAN,"Lit/Civ of Spanish-American"
19186: SPAN,"Lit/Cult/Civ Greater Antilles"
19187: SPAN,"New York Literature in Spanish"
19188: SPAN,"Spanish Conversation"
19189: SPAN,"Spanish Conversation Hour"
19190: SPAN,"Spanish Film and Conversation"
19191: SPAN,"Spanish I"
19192: SPAN,"Spanish II"
19193: SPAN,"Spanish III"
19194: SPAN,"Spanish IV"
19195: SPAN,"Spanish-American Theatre"
