15157: ACCT,"Accounting Independent Study 2"
16561: PHAS,"Intro to E-Portf/Orientation"
16562: PHAS,"Long Term Care Clin Rotation"
16563: PHAS,"Ob/Gyn Clinical Rotation"
16564: PHAS,"Obstetrics/Gynecology"
16565: PHAS,"PA Profession"
16566: PHAS,"PA-Portfolio I"
16567: PHAS,"PA-Portfolio II"
16568: PHAS,"PA-Portfolio III"
16569: PHAS,"Pa Full-Time Cert"
16570: PHAS,"Pathophysiology"
16571: PHAS,"Pediatric Clinical Rotation"
16572: PHAS,"Pediatrics"
16573: PHAS,"Pharmacology I"
16574: PHAS,"Pharmacology II"
16575: PHAS,"Pharmacology III"
16576: PHAS,"Physical Diagnosis I"
16577: PHAS,"Physical Diagnosis II"
16578: PHAS,"Primary Care"
16579: PHAS,"Psychiatry"
16580: PHAS,"Psychiatry Clinical Rotation"
16581: PHAS,"Public Health"
16582: PHAS,"Surgery"
16583: PHAS,"Surgery Clinical Rotation"
16584: PHIL,"American Philosophy"
16585: PHIL,"Ancient Philosophy"
16586: PHIL,"Beginning Deductive Logic"
16587: PHIL,"Beginning Informal Logic"
16588: PHIL,"Contemporary Philosophy"
16589: PHIL,"Ethics"
16590: PHIL,"Ethics16591: PHIL,"Existentialism"
16592: PHIL,"Freedom and Reason"
16593: PHIL,"Healthcare Ethics"
16594: PHIL,"Independent Study"
16595: PHIL,"Intro Knowledge & Value"
16596: PHIL,"Introduction to Philosophy"
16597: PHIL,"Latin American Philosophy"
16598: PHIL,"Love & Friendship"
16599: PHIL,"Major Ideas & Issues in Educ"
16600: PHIL,"Medieval Philosophy"
16601: PHIL,"Modern Philosophy"
16602: PHIL,"Philo Prob Soc Sci"
16603: PHIL,"Philosophical Psychology"
16604: PHIL,"Philosophies of India"
16605: PHIL,"Philosophy and Literature"
16606: PHIL,"Philosophy of Art"
16607: PHIL,"Philosophy of History"
16608: PHIL,"Philosophy of Language"
16609: PHIL,"Philosophy of Law"
16610: PHIL,"Philosophy of Religion"
16611: PHIL,"Philosophy of Science"
16612: PHIL,"Philosophy of Women"
16613: PHIL,"Seminar"
16614: PHIL,"Soc & Polit Philo"
16615: PHTA,"Ambulatory Care"
16616: PHTA,"Clinical Anatomy"
16617: PHTA,"Clinical Correlations"
16618: PHTA,"Clinical Skills"
16619: PHTA,"Clinical-Intern Med"
16620: PHTA,"Diagnostic Studies"
16621: PHTA,"Emergency Medicine"
16622: PHTA,"Emergency Medicine Rotation"
16623: PHTA,"Family Medicine"
16624: PHTA,"Internal Medicine I"
16625: PHTA,"Internal Medicine II"
16626: PHTA,"Interviewing and Counseling"
16627: PHTA,"Long Term Care Rotation"
16628: PHTA,"Microbiology & Immunology"
16629: PHTA,"Ob/Gyn Clinical Rotation"
16630: PHTA,"Pathology"
16631: PHTA,"Pediatrics Clinical Rotation"
16632: PHTA,"Pharmacology I"
16633: PHTA,"Pharmacology II"
16634: PHTA,"Physical Diagnosis I"
16635: PHTA,"Physical Diagnosis I - Lab"
16636: PHTA,"Physical Diagnosis II"
16637: PHTA,"Physical Diagnosis II - Lab"
16638: PHTA,"Physician Assistant Profession"
16639: PHTA,"Primary Care I"
16640: PHTA,"Primary Care II"
16641: PHTA,"Psychiatry Rotation"
16642: PHTA,"Psychosocial Dynamics"
16643: PHTA,"Surgery"
16644: PHTA,"Surgical Clinical Rotation"
16645: PHYS,"Astrophysics 1"
16646: PHYS,"Astrophysics 2"
16647: PHYS,"Classical Mechanics I"
16648: PHYS,"Classical Mechanics II"
16649: PHYS,"College Physics I"
16650: PHYS,"College Physics I - Lab"
16651: PHYS,"College Physics II"
16652: PHYS,"Electricity and Magnetism I"
16653: PHYS,"Electricity and Magnetism II"
16654: PHYS,"Electronics Laboratory"
16655: PHYS,"Extragalactic Astr"
16656: PHYS,"Independent Study"
16657: PHYS,"Med Phys Clin Intrn"
16658: PHYS,"Med Phys Theo & Pra"
16659: PHYS,"Methods of Theoretical Physics"
16660: PHYS,"Modern Optics"
16661: PHYS,"Modern Physics"
16662: PHYS,"Modern Physics Laboratory"
16663: PHYS,"Nuclear & Particle Physics"
16664: PHYS,"Oscillations and Waves"
16665: PHYS,"Physics II - Lab"
16666: PHYS,"Physics Laboratory I"
16667: PHYS,"Physics Laboratory II"
16668: PHYS,"Quantm Mech & Atom"
16669: PHYS,"Solid State Physics"
16670: PHYS,"Statistical Mechanics"
16671: PHYS,"The Physical Universe"
16672: PHYS,"University Physics I"
16673: PHYS,"University Physics I - Lab"
16674: PHYS,"University Physics II"
16675: PHYS,"University Physics II - Lab"
16676: PHYS,"Weather and Climate"
16677: PMSC,"Advanced Biostatistics"
16678: PMSC,"Advanced Pharmaceutics"
16679: PMSC,"Advanced Pharmacology"
16680: PMSC,"Advanced Toxicology"
16681: PMSC,"Biotherapeutics"
16682: PMSC,"Design of Clinical Trials"
16683: PMSC,"Foundations of Reg Affairs"
16684: PMSC,"Fundamentals of Pharm Science"
16685: PMSC,"Independent Study"
16686: PMSC,"Internation Regulatory Affairs"
16687: PMSC,"Internship Pharm Sc"
16688: PMSC,"Internship in Pharm Sci II"
16689: PMSC,"Medicine and Drugs of Abuse"
16690: PMSC,"Pharm Discovery & Develop Tech"
16691: PMSC,"Pharm Discovery & Development"
16692: PMSC,"Pharm Ethics & Intel Prop Mgmt"
16693: PMSC,"Pharm Indus &Bus Capstone Proj"
16694: PMSC,"Pharm Industry & Business"
16695: PMSC,"Pharm Manufac& Applic Reg"
16696: PMSC,"Pharm Product Labeling"
16697: PMSC,"Pharm Product Management"
16698: PMSC,"Pharm Qual Assurance Process"
16699: PMSC,"Pharm Supply Chain Mgmt"
16700: PMSC,"Pharmaceutical Marketing"
16701: PMSC,"Pharmaceutical Proj Mgmt"
16702: PMSC,"Pharmaceutics"
16703: PMSC,"Pharmacology"
16704: PMSC,"Regulation of Pharmaceuticals"
16705: PMSC,"Spec Topics in Pharm Dis &Deve"
16706: PMSC,"Writing and Sub of Reg Appl"
16707: POSC,"Advanced Topics"
16708: POSC,"African Politics"
16709: POSC,"American Capitalism"
16710: POSC,"American Foreign Policy"
16711: POSC,"American Political Thought"
16712: POSC,"American State Politics"
16713: POSC,"Asian Politics"
16714: POSC,"Aviation Internship: Priv Sect"
16715: POSC,"Aviation Law"
16716: POSC,"Aviation Policy Seminar"
16717: POSC,"Caribbean Politics"
16718: POSC,"Comp Foreign Policy"
16719: POSC,"Comp Urbn Gov & Pol"
16720: POSC,"Comparative Politics"
16721: POSC,"Congress and the Presidency"
16722: POSC,"Contemporary Political Theory"
16723: POSC,"Correctional Administration"
16724: POSC,"Cuban Politics"
16725: POSC,"Directed Reading and Research"
16726: POSC,"Intermed Topics"
16727: POSC,"Intermediate Topics"
16728: POSC,"Intern In Legal Offc"
16729: POSC,"International Security"
16730: POSC,"Internatl Politics"
16731: POSC,"Intrnship Nat’L Gov"
16732: POSC,"Intrnshp State Govt"
16733: POSC,"Intro Political Econ"
16734: POSC,"Intro Topics"
16735: POSC,"Intro to Aviation Safety & Sec"
16736: POSC,"Introduction to Law"
16737: POSC,"Introduction to Politics"
16738: POSC,"Latin American Politics"
16739: POSC,"Machiavelli To Marx"
16740: POSC,"Marxism"
16741: POSC,"Methods of Legal Research"
16742: POSC,"Middle East Politics"
16743: POSC,"Modern Israel"
16744: POSC,"Plato-Machiavelli"
16745: POSC,"Politics & Gov in the US"
16746: POSC,"Politics of Aging"
16747: POSC,"Politics of the Environment"
16748: POSC,"Protest Politics and the Novel"
16749: POSC,"Psychology of Terrorism"
16750: POSC,"Pub Admin Polit Set"
16751: POSC,"Public Admin: Mgmt Processes"
16752: POSC,"Public Opinion & Pol Behavior"
16753: POSC,"Public Policy Making"
16754: POSC,"Puerto Rican Politics"
16755: POSC,"Qualitative Research Methods"
16756: POSC,"Racial and Ethnic Politics"
16757: POSC,"Research Methods"
16758: POSC,"Risk Manangement"
16759: POSC,"Russian Politics"
16760: POSC,"Selected Legal Topics"
16761: POSC,"Sem Intrnshp NYC Gov & Com Dev"
16762: POSC,"Sem Intrnshp Prevent Law Elder"
16763: POSC,"Seminar NYC Govt & Politics"
16764: POSC,"Seminar in Civil Liberties"
16765: POSC,"Seminar in Global Change"
16766: POSC,"Seminar-Intern NYC Gov"
16767: POSC,"Seminar-Urban Prob"
16768: POSC,"Social Research Methods I"
16769: POSC,"Social Research Methods II"
16770: POSC,"Spec Topics"
16771: POSC,"The Courts and Public Policy"
16772: POSC,"The Electoral Process"
16773: POSC,"The Politics of Education"
16774: POSC,"The U.S. Supreme Court"
16775: POSC,"Transport: Plan16776: POSC,"Urb Govt In Us"
16777: PRST,"Puerto Rican Soc & Culture I"
16778: PRST,"Puerto Rican Society & Cult II"
16779: PRST,"Puerto Ricans in New York"
16780: PSYC,"Abnormal Psychology"
16781: PSYC,"Advanced Seminar in Psychology"
16782: PSYC,"Advanced Statistical Methods"
16783: PSYC,"Approaches to Psychotherapy"
16784: PSYC,"Behavior Modification"
16785: PSYC,"Biofeedback"
16786: PSYC,"Black Psychology"
16787: PSYC,"Child Abuse and Neglect"
16788: PSYC,"Chronic Disability"
16789: PSYC,"Clinical Health Psychology"
16790: PSYC,"Cognitive Psychology"
16791: PSYC,"Community Psychology"
16792: PSYC,"Conflict Reso & Mgmt"
16793: PSYC,"Death & Dying"
16794: PSYC,"Exceptional Child"
16795: PSYC,"Experimental Methods"
16796: PSYC,"Field Work"
16797: PSYC,"Game-Based Learning"
16798: PSYC,"History of Psychology"
16799: PSYC,"Human Development 1"
16800: PSYC,"Human Development 2"
16801: PSYC,"Human Factors Psychology"
16802: PSYC,"Indep St & Exp Res"
16803: PSYC,"Indep Stdy & Experiment Rsrch"
16804: PSYC,"Independent Study"
16805: PSYC,"Indpndnt Stdy & Exprmntl Rsrch"
16806: PSYC,"Indust&Organ Psych"
16807: PSYC,"Intermediate Seminar"
16808: PSYC,"Interpersonal Skills"
16809: PSYC,"Intro Comm Disorder"
16810: PSYC,"Intro to Scientific Lit in Psy"
16811: PSYC,"Introductory Psychology"
16812: PSYC,"Ldrshp16813: PSYC,"Lifespan Develpment"
16814: PSYC,"Organizational Behavior"
16815: PSYC,"Personality"
16816: PSYC,"Physiological Psychology"
16817: PSYC,"Pract in Behave Modification"
16818: PSYC,"Practicum in Community Service"
16819: PSYC,"Practicum in Group Dynamics"
16820: PSYC,"Practicum in Interviewing"
16821: PSYC,"Psy Of Learning Lab"
16822: PSYC,"Psy of Consumer Behavior"
16823: PSYC,"Psy of Religious Experience"
16824: PSYC,"Psych Learn Disab"
16825: PSYC,"Psychological Assessment"
16826: PSYC,"Psychology for Parents"
16827: PSYC,"Psychology of Addiction"
16828: PSYC,"Psychology of Consciousness"
16829: PSYC,"Psychology of Food"
16830: PSYC,"Psychology of Geriatrics"
16831: PSYC,"Psychology of Terrorism"
16832: PSYC,"Research Of Psychology"
16833: PSYC,"Seminar in Org Psychology"
16834: PSYC,"Sensation/Perceptn"
16835: PSYC,"Social Psychology"
16836: PSYC,"Statistical Methods"
16837: PSYC,"The Psychology of Women"
16838: PSYC,"Vocational Rehab"
16839: PUHE,"Applied Biostatistics"
16840: PUHE,"Assessing Comm Hlth Needs"
16841: PUHE,"Comm Hlth Interv Desg & Mthd"
16842: PUHE,"Environmental & Occup Hlth"
16843: PUHE,"Epidemiology For Pub Hlth Prac"
16844: PUHE,"Eval Mthds in Pub Hlth"
16845: PUHE,"Field Experience I"
16846: PUHE,"Field Experience II"
16847: PUHE,"Health Equity & Cult Responsv"
16848: PUHE,"History& Principle Public Hlth"
16849: PUHE,"Plann & Funding for Pub Health"
16850: PUHE,"Princp & Prac of Hlth Beh Chng"
16851: PUHE,"Public Health & Societies"
16852: PUHE,"Public Health Policy & Mgmt"
16853: PUHE,"Sexual and Gender Minority"
16854: PUHE,"Soc & Beh Determinants of Hlth"
16855: SEEK,"Dev Coping Strats Acad Success"
16856: SEEK,"Developing Self-Awareness"
16857: SEEK,"Psych16858: SOCI,"Collective Behavior"
16859: SOCI,"Complex Organizations"
16860: SOCI,"Crimnl Justc Admin"
16861: SOCI,"Deviance and Social Control"
16862: SOCI,"Family and Kinship"
16863: SOCI,"Field Research Practicum"
16864: SOCI,"Field Work and Research"
16865: SOCI,"Independent Reading"
16866: SOCI,"Industrial Sociology"
16867: SOCI,"Introduction to Sociology"
16868: SOCI,"Major Ideas & Issues in Ed"
16869: SOCI,"Medical Sociology"
16870: SOCI,"Modernization&Devel"
16871: SOCI,"Political Sociology"
16872: SOCI,"Population Problems"
16873: SOCI,"Qualitative Research Methods"
16874: SOCI,"Race and Ethnicity"
16875: SOCI,"Selected Topics"
16876: SOCI,"Selected Topics in Soc Instit"
16877: SOCI,"Seminar"
16878: SOCI,"Seminar Adv Topics"
16879: SOCI,"Soc Gender&Sexuality"
16880: SOCI,"Soc Struct & Persn"
16881: SOCI,"Social Change"
16882: SOCI,"Social Problems"
16883: SOCI,"Social Research Methods I"
16884: SOCI,"Social Research Methods II"
16885: SOCI,"Social Stratification"
16886: SOCI,"Sociological Analysis WI"
16887: SOCI,"Sociological Theory WI"
16888: SOCI,"Sociology of Aging"
16889: SOCI,"Sociology of Education"
16890: SOCI,"Sociology of Higher Education"
16891: SOCI,"Sociology of Knowledge"
16892: SOCI,"Sociology of Leisure"
16893: SOCI,"Sociology of Religion"
16894: SOCI,"Sociology of Small Groups"
16895: SOCI,"Sociology of Work"
16896: SOCI,"Survey Research I"
16897: SOCI,"Survey Research II"
16898: SOCI,"Understanding Youth Urban"
16899: SOCI,"Urban Sociology"
16900: SOWO,"Adv Field Placement & Sem III"
16901: SOWO,"Adv Field Placement & Sem IV"
16902: SOWO,"Beyond the Medical Model"
16903: SOWO,"Casework"
16904: SOWO,"Clinical Social Work Practice"
16905: SOWO,"Contemporary Issues: Violence"
16906: SOWO,"Field Placement and Seminar I"
16907: SOWO,"Field Placement and Seminar II"
16908: SOWO,"Gen Field Placement & Sem I"
16909: SOWO,"Gen Field Placement & Sem II"
16910: SOWO,"Genaralist Soc Wrk Pract II"
16911: SOWO,"Genral Social Work Pract III"
16912: SOWO,"Human Behavior I"
16913: SOWO,"Human Behavior II"
16914: SOWO,"Human Bhvr & Social Envrnmnt"
16915: SOWO,"Introduction to Social Work"
16916: SOWO,"Method of Social Work Research"
16917: SOWO,"Pract I& Skills Lab"
16918: SOWO,"Research Evaluation"
16919: SOWO,"Social Policy Advocacy in Hlth"
16920: SOWO,"Social Research Methods I"
16921: SOWO,"Social Research Methods II"
16922: SOWO,"Social Welfare"
16923: SOWO,"Social Welfare Policy"
16924: SOWO,"Social Work Practice I"
16925: SOWO,"Social Work Practice II"
16926: SOWO,"Social Work Practice in Health"
16927: SOWO,"Social Work Practicum"
16928: SOWO,"Social and Behavioral Determin"
16929: SOWO,"Socwlfare Prob&Iss"
16930: SOWO,"Understanding Mental Disorders"
16931: SOWO,"Urban Health Disparities"
16932: SPAN,"1898 to Spanish Civil War"
16933: SPAN,"Adv Span Discip-1"
16934: SPAN,"Adv Span Discip-2"
16935: SPAN,"Adv Span Discip-3"
16936: SPAN,"Advanced Grammar"
16937: SPAN,"Cervantes"
16938: SPAN,"Commercial Spanish"
16939: SPAN,"Comparative Struct"
16940: SPAN,"Composition and Style"
16941: SPAN,"Contemporary Theater"
16942: SPAN,"Cuban Literature"
16943: SPAN,"Dominican Literature"
16944: SPAN,"Elem Span for Health Prof"
16945: SPAN,"Elementary Spanish I"
16946: SPAN,"Elementary Spanish II"
16947: SPAN,"Hisp Amer Lit"
16948: SPAN,"Hispanic Civilization"
16949: SPAN,"Hispanic-American Short Story"
16950: SPAN,"Indigenismo"
16951: SPAN,"Inter Span Discip-2"
16952: SPAN,"Inter Span Discip-3"
16953: SPAN,"Intermd Span Hlthprf"
16954: SPAN,"Intermed Span for Spec Purp"
16955: SPAN,"Intermed Spanish Discip I"
16956: SPAN,"Intermediate Spanish Comp"
16957: SPAN,"Intermediate Spanish I"
16958: SPAN,"Intro Literary Theory & Analys"
16959: SPAN,"Latin American Film"
16960: SPAN,"Latino Cultures in the U.S."
16961: SPAN,"Lit Span Spkng Caribb Mdrnism"
16962: SPAN,"Lit-Post Modernismo"
16963: SPAN,"Literature of the Golden Age"
16964: SPAN,"Medieval Spanish Literature"
16965: SPAN,"Puerto Rican Literature"
16966: SPAN,"Rapid Review of Basic Spanish"
16967: SPAN,"Roman&Real 19th Cent"
16968: SPAN,"Roman16969: SPAN,"Seminar Narrative Prose"
16970: SPAN,"Seminar on Poetry"
16971: SPAN,"Seminar on Writing"
16972: SPAN,"Seminar on an Author"
16973: SPAN,"Seminar on the Theatre"
16974: SPAN,"Seminar: Special Topics"
16975: SPAN,"Span For Biling Stud"
16976: SPAN,"Span For Tourism"
16977: SPAN,"Span Lit 1700-Present"
16978: SPAN,"Span Lit after Span Civil War"
16979: SPAN,"Span for Health Professions"
16980: SPAN,"Spanish Linguistics"
16981: SPAN,"Spanish Lit for Children"
16982: SPAN,"Spanish Literature to 1700"
16983: SPAN,"Spanish for Communication I."
16984: SPAN,"Spanish for the Social Worker"
16985: SPAN,"Spanlang Acquisition"
16986: SPAN,"Special Topics"
16987: SPAN,"Translation I"
16988: SPAN,"Translation II"
16989: SPAN,"Women Writers - Latin America"
16990: SPAN,"Women Writers from Spain"
16991: SPCT,"Argumentation and Debate"
16992: SPCT,"Business and Org Communication"
16993: SPCT,"Commun In Soc - Rec"
16994: SPCT,"Commun In Society"
16995: SPCT,"Communications in Small Groups"
16996: SPCT,"Ethics Of Speech"
16997: SPCT,"Fundamentals Speech Comm"
16998: SPCT,"Gender and Communication"
16999: SPCT,"Independent Research"
17000: SPCT,"Introduction to Mass Media"
17001: SPCT,"Major American Spokesmen"
17002: SPCT,"Oral Intrp-Prs&Poet"
17003: SPCT,"Pers&Propag-Mass Med"
17004: SPCT,"Persuasion"
17005: SPCT,"Public Communication"
17006: SPCT,"Rheto Theory & Criticism"
17007: SPCT,"Rhetorical Composition"
17008: SPCT,"Special Studies Seminar I"
17009: SPCT,"Special Studies Seminar II"
17010: SPCT,"Special Studies Seminar III"
17011: SPCT,"Sports Communication"
17012: SPCT,"Voice and Diction"
17013: SPCT,"Voice and Diction II"
17014: STAB,"Study Abroad"
17015: STAB,"Study Abroad 3 credits"
17016: STAB,"Study Abroad 5 credits"
17017: STDV,"Dev Ind Lif Style 1"
17018: STDV,"Developing Success in College"
17019: STDV,"Individual Career Development"
17020: STDV,"Pract In Learning"
17021: SWAH,"Elementary Swahili I"
17022: SWAH,"Elementary Swahili II"
17023: THEA,"American Musical Theatre"
17024: THEA,"Avant-Garde Perform"
17025: THEA,"Basic Acting"
17026: THEA,"Basic Lighting & Sound Prod"
17027: THEA,"Computer Design for the Stage"
17028: THEA,"Dance Techniques 1"
17029: THEA,"Dance Techniques 2"
17030: THEA,"Dance Techniques 3"
17031: THEA,"Dance Techniques IV"
17032: THEA,"Fundamental of Directing"
17033: THEA,"History Afro-Amer Theatre"
17034: THEA,"History of Theatre"
17035: THEA,"Independent Research"
17036: THEA,"Intro Costume Design & Fashion"
17037: THEA,"Intro Stage Managmnt"
17038: THEA,"Introduction to Scenic Design"
17039: THEA,"Introduction to the Theatre"
17040: THEA,"Musical Theater Performance 1"
17041: THEA,"Musical Theater Performance 2"
17042: THEA,"Oral Interpretation: Drama"
17043: THEA,"Performance for Television"
17044: THEA,"Religion and the Theatre"
17045: THEA,"Scene Study"
17046: THEA,"Shakespeare: Frm Scrpt to Scrn"
17047: THEA,"Special Studies Seminar I"
17048: THEA,"Special Studies Seminar II"
17049: THEA,"Special Studies Seminar III"
17050: THEA,"Stagecraft I"
17051: THEA,"Stagecraft II"
17052: THEA,"Studies in Theatre Practice I"
17053: THEA,"Studies in Theatre Practice II"
17054: THEA,"Studies in Theatre Practice IV"
17055: THEA,"Studies in Theatre Practice V"
17056: THEA,"Theatre Practice 3"
17057: THEA,"Theatrical Criticism"
17058: THEA,"Voice & Stage Move Actors I"
17059: THEA,"Voice & Stage Mvmt Actors II"
17060: WOLI,"Contemp Women Writer"
17061: WOLI,"Divine Comedy in Translation"
17062: WOLI,"Francophone Lit"
17063: WOLI,"Global Women Writers"
17064: WOLI,"Intro to Latino Lit In U.S."
17065: WOLI,"Italian Theatre in Translation"
17066: WOLI,"Latin American Literature"
17067: WOLI,"Lit Of Caribbean"
17068: WOLI,"Lit of Western World"
17069: WOLI,"North African Literature"
17070: WOLI,"Spanish Lit in Translation"
17071: WOLI,"The Nineteenth Century Novel"
17072: WOLI,"Women’S Writing"
17073: WOLI,"Writing of Diasporas"
17074: WRIT,"Research & Writing for Major"
17075: WRIT,"Research&Writing English Major"
17076: WRIT,"Rsch&Wrt-Prof Prog"
17077: WRIT,"Rsch&Wrt-Sc17078: YODE,"Action Research"
17079: YODE,"Building Learning Communities"
17080: YODE,"Theory and Practice"
17081: YODE,"Youth In Urban Context"
17082: YOST,"Indep Study in Youthwork Prac"
17083: YOST,"The American Teenager"
